tag,depth_index,depth,sample_r,sample_q,forward_h_gram,adjoint_q_gram,backprop_beta_gram
smooth_generic,0,0.0,0,0,0.25172382780076064,2.3959555159002943,1.5935816206247946
smooth_generic,0,0.0,0,1,0.03212259200367685,2.9324636794018812,1.971286993073811
smooth_generic,0,0.0,0,2,-0.13478151254915408,2.6176216538650916,1.5655537843527003
smooth_generic,0,0.0,1,0,0.03212259200367685,2.9324636794018812,1.971286993073811
smooth_generic,0,0.0,1,1,0.12293266813330024,3.7024307633038966,2.73942359939203
smooth_generic,0,0.0,1,2,-0.014441185277544552,3.2179106489056193,2.0180739998838635
smooth_generic,0,0.0,2,0,-0.13478151254915408,2.6176216538650916,1.5655537843527003
smooth_generic,0,0.0,2,1,-0.014441185277544552,3.2179106489056193,2.0180739998838635
smooth_generic,0,0.0,2,2,0.25420918685970645,2.8911655506384135,1.6131395715541321
smooth_generic,1,0.025,0,0,0.2553512257682408,2.3567272796755865,1.5769744243242176
smooth_generic,1,0.025,0,1,0.034807693063855706,2.877044751574204,1.942521618179495
smooth_generic,1,0.025,0,2,-0.13900696767871254,2.5727866253054463,1.6119387167705554
smooth_generic,1,0.025,1,0,0.034807693063855706,2.877044751574204,1.942521618179495
smooth_generic,1,0.025,1,1,0.12449184329686984,3.621114472703709,2.6791465769917946
smooth_generic,1,0.025,1,2,-0.016875823755127337,3.154900628388924,2.0648348033305703
smooth_generic,1,0.025,2,0,-0.13900696767871254,2.5727866253054463,1.6119387167705554
smooth_generic,1,0.025,2,1,-0.016875823755127337,3.154900628388924,2.0648348033305703
smooth_generic,1,0.025,2,2,0.2583177389001715,2.840266446853849,1.7084741833071533
smooth_generic,2,0.05,0,0,0.2591414747577059,2.319461511091481,1.5901955227330316
smooth_generic,2,0.05,0,1,0.037597074777156035,2.8255587957724786,1.9281328393609423
smooth_generic,2,0.05,0,2,-0.14326093060533218,2.5302593043213264,1.675678754923453
smooth_generic,2,0.05,1,0,0.037597074777156035,2.8255587957724786,1.9281328393609423
smooth_generic,2,0.05,1,1,0.12626078077307681,3.546407840082139,2.5970973318097377
smooth_generic,2,0.05,1,2,-0.019500125109804818,3.096225960920625,2.1005994852969363
smooth_generic,2,0.05,2,0,-0.14326093060533218,2.5302593043213264,1.675678754923453
smooth_generic,2,0.05,2,1,-0.019500125109804818,3.096225960920625,2.1005994852969363
smooth_generic,2,0.05,2,2,0.2623201403916479,2.7921593118313113,1.8169542155351441
smooth_generic,3,0.075,0,0,0.2631521481018442,2.283330155826131,1.5950588073379999
smooth_generic,3,0.075,0,1,0.0404583178196583,2.77748221062342,1.9146372540040042
smooth_generic,3,0.075,0,2,-0.14747977478051433,2.4891017895792187,1.725383303379286
smooth_generic,3,0.075,1,0,0.0404583178196583,2.77748221062342,1.9146372540040042
smooth_generic,3,0.075,1,1,0.1281598396991234,3.478332377791464,2.5209455271150714
smooth_generic,3,0.075,1,2,-0.022292266761664816,3.0415113006683305,2.1159504289921873
smooth_generic,3,0.075,2,0,-0.14747977478051433,2.4891017895792187,1.725383303379286
smooth_generic,3,0.075,2,1,-0.022292266761664816,3.0415113006683305,2.1159504289921873
smooth_generic,3,0.075,2,2,0.2660461079227307,2.7457038979731103,1.9095653297784958
smooth_generic,4,0.1,0,0,0.26747581406319637,2.247721104053108,1.5520814646626635
smooth_generic,4,0.1,0,1,0.04335424875716271,2.731631278236476,1.8846475095644504
smooth_generic,4,0.1,0,2,-0.1516809454841801,2.448569934314167,1.7253201729034144
smooth_generic,4,0.1,1,0,0.04335424875716271,2.731631278236476,1.8846475095644504
smooth_generic,4,0.1,1,1,0.13007229132219142,3.415133924846092,2.4664022261935217
smooth_generic,4,0.1,1,2,-0.025213293996747186,2.989593394487723,2.1062117857038842
smooth_generic,4,0.1,2,0,-0.1516809454841801,2.448569934314167,1.7253201729034144
smooth_generic,4,0.1,2,1,-0.025213293996747186,2.989593394487723,2.1062117857038842
smooth_generic,4,0.1,2,2,0.2694072949142721,2.6998410207818115,1.9613517138805368
smooth_generic,5,0.125,0,0,0.2722123922838346,2.212275949931748,1.4577834994837229
smooth_generic,5,0.125,0,1,0.0462438521840794,2.6866187123749063,1.8257090770266486
smooth_generic,5,0.125,0,2,-0.15591686091943435,2.4082262251651434,1.6642274247122566
smooth_generic,5,0.125,1,0,0.0462438521840794,2.6866187123749063,1.8257090770266486
smooth_generic,5,0.125,1,1,0.1318760295479316,3.3542030058747554,2.4221661394493905
smooth_generic,5,0.125,1,2,-0.028209519245376746,2.9389614257685115,2.068677210766411
smooth_generic,5,0.125,2,0,-0.15591686091943435,2.4082262251651434,1.6642274247122566
