sup_output_l2_error,sup_all_depth_gram_fro_error,final_output_l2_error,final_all_depth_gram_fro_error,min_reconstructed_psd_kernel_eigenvalue,design_id,seed,n,L,m,activation_gain,label_scale,depth_mode,reference_final_loss,exact_kernel_min_eigenvalue
6.07050490830392e-07,2.9877701596877457e-06,6.07050490830392e-07,2.9877701596877457e-06,0.8846930410797887,0,131,16,16,2,0.7,0.65,iid,0.03565504600945632,0.8846889138730504
1.1267659892320285e-06,4.466621755503894e-06,1.1251362824713733e-06,4.466621755503894e-06,1.2346551248540434,0,132,16,16,2,0.7,0.65,iid,0.01583498421067178,1.2346536415792004
8.087317874475768e-05,0.00024972547119235896,6.1282158075296e-05,0.00023146243179826044,1.0794836537905461,1,148,16,48,4,1.0,1.25,smooth,0.03253496754387389,1.0795715950184277
0.00011630515784985833,0.00034544611633738966,0.00011529503260715467,0.0003440653280343297,0.7432529319712256,1,149,16,48,4,1.0,1.25,smooth,0.12009343428122707,0.743048570259638
3.2377253875038e-06,1.110722888230807e-06,1.052206772039499e-06,1.110722888230807e-06,1.0100218721390075,2,165,24,24,3,1.3,0.9,iid,0.062322733936476984,1.0100196921664881
1.3180018495313922e-06,1.3844302659885667e-06,1.3180018495313922e-06,1.3844302659885667e-06,0.662405476690641,2,166,24,24,3,1.3,0.9,iid,0.14011904689813143,0.6624021421821079
0.0002443143752347809,0.000495070893136878,5.594739198142165e-05,0.0003078458859815525,1.9052234470622809,3,182,24,64,2,0.85,1.4,smooth,0.006913352413408518,1.9051630319314978
0.0003383037094915689,0.000869502845366286,5.2204723180394506e-05,0.0005447665776105323,2.286339069500961,3,183,24,64,2,0.85,1.4,smooth,0.0030308077863776183,2.286318725736139
1.6585188608066287e-07,2.729319343124881e-07,1.6585188608066287e-07,2.729319343124881e-07,0.7557279802469424,4,199,32,32,4,1.15,0.75,iid,0.07475269607534801,0.7557276304877741
7.696366414921635e-08,4.160200144455592e-07,7.696366414921635e-08,4.160200144455592e-07,0.8322993395981383,4,200,32,32,4,1.15,0.75,iid,0.06326836595256952,0.8322989105755729
0.00011211218683539652,0.00019015868305345384,9.603483750130028e-05,0.0001544615838560156,0.9090774401609906,5,216,32,48,3,1.4,1.1,smooth,0.08163970809638743,0.9091018641849609
2.852892241195261e-05,0.00010407198292388981,1.442235170053796e-05,0.00010401302490695189,0.8212204986052892,5,217,32,48,3,1.4,1.1,smooth,0.09857227024400891,0.8212207934754376
