tag,total_degree,coefficient_count,max_abs_error,relative_fro_error
iid_generic,1,3,0.2903740194490292,0.09328772862326028
iid_generic,2,6,0.2773035248850577,0.09301077403590131
iid_generic,3,10,0.32057383241581655,0.0924316857516016
iid_generic,4,15,0.1614558146628019,0.0875164679748072
iid_generic,5,21,0.18499829746181606,0.08741600424236345
iid_generic,6,28,0.13789874550446724,0.08689057391139135
iid_generic,7,36,0.13586308176242767,0.08658145717255093
iid_generic,8,45,0.13566797278733334,0.08651492353405645
iid_generic,9,55,0.14455863781082645,0.08556419933134712
iid_generic,10,66,0.13922134390727092,0.08512392786728709
smooth_generic,1,3,0.6758815550580504,0.12385076028707481
smooth_generic,2,6,0.8430208321636423,0.10702725484315993
smooth_generic,3,10,0.39794187652340224,0.06378470459359277
smooth_generic,4,15,0.31432221430278884,0.061960179124313064
smooth_generic,5,21,0.6146114736302877,0.04699672638533716
smooth_generic,6,28,0.4722727297191226,0.04346064494909061
smooth_generic,7,36,0.18162233803629063,0.02348248883708368
smooth_generic,8,45,0.21310992762838954,0.02235898977230891
smooth_generic,9,55,0.18090124699535004,0.021913225409668186
smooth_generic,10,66,0.10610065879558145,0.012764925182533676
smooth_nonnormal,1,3,0.3244419780458833,0.12077375615556678
smooth_nonnormal,2,6,0.6248560501059663,0.06803678748631423
smooth_nonnormal,3,10,0.8005419294952778,0.056260995545304865
smooth_nonnormal,4,15,0.6178636260387604,0.04722247514086167
smooth_nonnormal,5,21,0.4259313984978464,0.03829235123973737
smooth_nonnormal,6,28,0.2516140902932341,0.030420749596917967
smooth_nonnormal,7,36,0.3085218091236037,0.02940907104510194
smooth_nonnormal,8,45,0.2611362367440294,0.02868179812791915
smooth_nonnormal,9,55,0.13243317463203597,0.017489031604727284
smooth_nonnormal,10,66,0.11143481790428655,0.016642972374888966
