case_id,inference_role,metric,quantity,estimate,lcb,ucb
C1,descriptive,gram,dense_separation,0.22440071205430925,0.2165019708185009,0.23529297408972835
C1,descriptive,gram,matched_error,0.011955813398056837,-0.005904558839644188,0.011897471305599407
C1,descriptive,gram,contrast_error,0.009452433567042505,,
C1,descriptive,output,dense_separation,0.07537017281403212,0.07236054114681414,0.07930196571784319
C1,descriptive,output,matched_error,0.02805764740091827,-0.012435607577528637,0.039147731186865715
C1,descriptive,output,contrast_error,0.0019368186138374929,,
C1,descriptive,loss,dense_separation,0.05815091270184018,0.05517467026504009,0.062326291472303195
C1,descriptive,loss,matched_error,0.04767927411218005,-0.026988532444792004,0.08644431758063134
C1,descriptive,loss,contrast_error,0.0026436804792076664,,
C2,confirmatory,gram,dense_separation,0.36384990211428603,0.35271130118926003,0.3801089142375025
C2,confirmatory,gram,matched_error,0.010949194306115,-0.004118364245847168,0.01089526168668982
C2,confirmatory,gram,contrast_error,0.013791835422622772,-0.0040118029872489806,0.017786313266238866
C2,confirmatory,output,dense_separation,0.12707337136489757,0.122405949092174,0.13331611145165473
C2,confirmatory,output,matched_error,0.029171997737262315,-0.011012799048008889,0.04176262273729188
C2,confirmatory,output,contrast_error,0.00321885831549365,-0.004054748069289644,0.002818653007159093
C2,confirmatory,loss,dense_separation,0.09890924357772858,0.0938149074682686,0.10595211720603001
C2,confirmatory,loss,matched_error,0.049884321883767714,-0.023929018333431855,0.09153879244653156
C2,confirmatory,loss,contrast_error,0.004913124123146345,-0.002534722684285177,0.006444580090821125
C4,descriptive,gram,dense_separation,0.4582126660915761,0.4461721910815945,0.4773192886727299
C4,descriptive,gram,matched_error,0.011803705834455962,-0.0011349893192681877,0.013424222024531668
C4,descriptive,gram,contrast_error,0.015546444957127863,-0.005563025753862437,0.02009540634913795
C4,descriptive,output,dense_separation,0.16569925758770426,0.15997169755782426,0.17350416750054223
C4,descriptive,output,matched_error,0.030120424711309362,-0.010019867630334401,0.04356351174555847
C4,descriptive,output,contrast_error,0.004286401076974811,-0.004671265891481075,0.0038481270481660673
C4,descriptive,loss,dense_separation,0.13034855375131973,0.12374228006107765,0.139764501257149
C4,descriptive,loss,matched_error,0.05190796082141655,-0.021204135196944057,0.09618989766177306
C4,descriptive,loss,contrast_error,0.006368771697938828,-0.003529573065197254,0.008129564724310808
