control,time,depth_index,depth_fraction,C2_minus_C0_contrast_fro,contrast_normalized
n128_L32_S16,0.0,0,0.0,0.0,0.0
n128_L32_S16,0.0,1,0.0625,0.0,0.0
n128_L32_S16,0.0,2,0.125,0.0,0.0
n128_L32_S16,0.0,3,0.1875,0.0,0.0
n128_L32_S16,0.0,4,0.25,0.0,0.0
n128_L32_S16,0.0,5,0.3125,0.0,0.0
n128_L32_S16,0.0,6,0.375,0.0,0.0
n128_L32_S16,0.0,7,0.4375,0.0,0.0
n128_L32_S16,0.0,8,0.5,0.0,0.0
n128_L32_S16,0.0,9,0.5625,0.0,0.0
n128_L32_S16,0.0,10,0.625,0.0,0.0
n128_L32_S16,0.0,11,0.6875,0.0,0.0
n128_L32_S16,0.0,12,0.75,0.0,0.0
n128_L32_S16,0.0,13,0.8125,0.0,0.0
n128_L32_S16,0.0,14,0.875,0.0,0.0
n128_L32_S16,0.0,15,0.9375,0.0,0.0
n128_L32_S16,0.0,16,1.0,0.0,0.0
n128_L32_S16,0.04,0,0.0,0.0008675838295233332,0.001135760902256446
n128_L32_S16,0.04,1,0.0625,0.001039954957637584,0.0013614133191503432
n128_L32_S16,0.04,2,0.125,0.0013910824516992415,0.0018210771186492566
n128_L32_S16,0.04,3,0.1875,0.0017812623524765196,0.002331864734864519
n128_L32_S16,0.04,4,0.25,0.0020444707188157405,0.0026764329039129474
n128_L32_S16,0.04,5,0.3125,0.0023499096991981177,0.0030762855062072686
n128_L32_S16,0.04,6,0.375,0.002785527122813237,0.0036465557455172444
n128_L32_S16,0.04,7,0.4375,0.0031054112730140608,0.0040653186346886975
n128_L32_S16,0.04,8,0.5,0.00348095274288645,0.004556942964399081
n128_L32_S16,0.04,9,0.5625,0.003943247343431602,0.005162136508534085
n128_L32_S16,0.04,10,0.625,0.004341237644623844,0.005683148782148918
n128_L32_S16,0.04,11,0.6875,0.004692767338671953,0.006143339104853953
n128_L32_S16,0.04,12,0.75,0.005048711823828701,0.006609308865766793
n128_L32_S16,0.04,13,0.8125,0.005524730006742284,0.0072324680609000686
n128_L32_S16,0.04,14,0.875,0.005825325428450088,0.0076259799219505296
n128_L32_S16,0.04,15,0.9375,0.00619692548653972,0.00811244451809948
n128_L32_S16,0.04,16,1.0,0.006584801996474672,0.008620216747014627
n128_L32_S16,0.08,0,0.0,0.0031656248903409938,0.004144144760782974
n128_L32_S16,0.08,1,0.0625,0.003953992239031263,0.005176202736955639
n128_L32_S16,0.08,2,0.125,0.00509860261076925,0.006674621292372318
n128_L32_S16,0.08,3,0.1875,0.0063166256443374985,0.008269144948183958
n128_L32_S16,0.08,4,0.25,0.007317575352327509,0.009579496184311377
n128_L32_S16,0.08,5,0.3125,0.008395569431330185,0.01099070682025403
n128_L32_S16,0.08,6,0.375,0.009755544910992942,0.012771061554017396
n128_L32_S16,0.08,7,0.4375,0.010882997885931986,0.01424701922461163
n128_L32_S16,0.08,8,0.5,0.012151201793625164,0.01590723506247265
n128_L32_S16,0.08,9,0.5625,0.01357402862961893,0.01776986900747232
n128_L32_S16,0.08,10,0.625,0.014889028188189398,0.019491345404663116
n128_L32_S16,0.08,11,0.6875,0.016141130562103426,0.02113048259639173
n128_L32_S16,0.08,12,0.75,0.017391250720411353,0.0227670248538804
n128_L32_S16,0.08,13,0.8125,0.018921989460515754,0.02477092713215945
n128_L32_S16,0.08,14,0.875,0.02012133872281472,0.02634100480525034
n128_L32_S16,0.08,15,0.9375,0.021441361924025595,0.02806905769303919
n128_L32_S16,0.08,16,1.0,0.02285432079097786,0.02991877340116004
n128_L32_S16,0.12,0,0.0,0.006033921509741821,0.007899054713610977
n128_L32_S16,0.12,1,0.0625,0.007743865708947043,0.010137556285919579
n128_L32_S16,0.12,2,0.125,0.009980739849492288,0.013065866041872046
n128_L32_S16,0.12,3,0.1875,0.012324173056801245,0.016133673120956565
n128_L32_S16,0.12,4,0.25,0.014390915089092274,0.018839261578749565
n128_L32_S16,0.12,5,0.3125,0.016565328478600524,0.021685803467967626
