source,case_id,fractional_loss_progress,depth_index,depth_fraction,gram_increment_fro,progress_path_scale,terminal_loss_reduction_fraction
PDE,C0,0.0,0,0.0,0.0,0.4853351268197654,1.0
PDE,C0,0.0,1,0.0625,0.0,0.4853351268197654,1.0
PDE,C0,0.0,2,0.125,0.0,0.4853351268197654,1.0
PDE,C0,0.0,3,0.1875,0.0,0.4853351268197654,1.0
PDE,C0,0.0,4,0.25,0.0,0.4853351268197654,1.0
PDE,C0,0.0,5,0.3125,0.0,0.4853351268197654,1.0
PDE,C0,0.0,6,0.375,0.0,0.4853351268197654,1.0
PDE,C0,0.0,7,0.4375,0.0,0.4853351268197654,1.0
PDE,C0,0.0,8,0.5,0.0,0.4853351268197654,1.0
PDE,C0,0.0,9,0.5625,0.0,0.4853351268197654,1.0
PDE,C0,0.0,10,0.625,0.0,0.4853351268197654,1.0
PDE,C0,0.0,11,0.6875,0.0,0.4853351268197654,1.0
PDE,C0,0.0,12,0.75,0.0,0.4853351268197654,1.0
PDE,C0,0.0,13,0.8125,0.0,0.4853351268197654,1.0
PDE,C0,0.0,14,0.875,0.0,0.4853351268197654,1.0
PDE,C0,0.0,15,0.9375,0.0,0.4853351268197654,1.0
PDE,C0,0.0,16,1.0,0.0,0.4853351268197654,1.0
PDE,C0,0.01,0,0.0,0.00021232212367719398,0.4853351268197654,1.0
PDE,C0,0.01,1,0.0625,0.00023007445287701996,0.4853351268197654,1.0
PDE,C0,0.01,2,0.125,0.0002481094524672403,0.4853351268197654,1.0
PDE,C0,0.01,3,0.1875,0.00026642730788291053,0.4853351268197654,1.0
PDE,C0,0.01,4,0.25,0.0002850282062829614,0.4853351268197654,1.0
PDE,C0,0.01,5,0.3125,0.000303912336552032,0.4853351268197654,1.0
PDE,C0,0.01,6,0.375,0.000323079889301727,0.4853351268197654,1.0
PDE,C0,0.01,7,0.4375,0.00034253105687305485,0.4853351268197654,1.0
PDE,C0,0.01,8,0.5,0.0003622660333369544,0.4853351268197654,1.0
PDE,C0,0.01,9,0.5625,0.0003822850144967301,0.4853351268197654,1.0
PDE,C0,0.01,10,0.625,0.0004025881978893369,0.4853351268197654,1.0
PDE,C0,0.01,11,0.6875,0.00042317578278723805,0.4853351268197654,1.0
PDE,C0,0.01,12,0.75,0.0004440479701997763,0.4853351268197654,1.0
PDE,C0,0.01,13,0.8125,0.00046520496287514863,0.4853351268197654,1.0
PDE,C0,0.01,14,0.875,0.00048664696530214483,0.4853351268197654,1.0
PDE,C0,0.01,15,0.9375,0.0005083741837115455,0.4853351268197654,1.0
PDE,C0,0.01,16,1.0,0.0005303868260783634,0.4853351268197654,1.0
PDE,C0,0.02,0,0.0,0.00042464424735449584,0.4853351268197654,1.0
PDE,C0,0.02,1,0.0625,0.00046014890575408476,0.4853351268197654,1.0
PDE,C0,0.02,2,0.125,0.0004962189049345255,0.4853351268197654,1.0
PDE,C0,0.02,3,0.1875,0.0005328546157657581,0.4853351268197654,1.0
PDE,C0,0.02,4,0.25,0.0005700564125658342,0.4853351268197654,1.0
PDE,C0,0.02,5,0.3125,0.000607824673103842,0.4853351268197654,1.0
PDE,C0,0.02,6,0.375,0.000646159778603454,0.4853351268197654,1.0
PDE,C0,0.02,7,0.4375,0.0006850621137460211,0.4853351268197654,1.0
PDE,C0,0.02,8,0.5,0.0007245320666739088,0.4853351268197654,1.0
PDE,C0,0.02,9,0.5625,0.0007645700289934346,0.4853351268197654,1.0
PDE,C0,0.02,10,0.625,0.0008051763957786738,0.4853351268197654,1.0
PDE,C0,0.02,11,0.6875,0.0008463515655744131,0.4853351268197654,1.0
PDE,C0,0.02,12,0.75,0.0008880959403993937,0.4853351268197654,1.0
