filename,load_status,all_numeric_values_finite,f_mean_recompute_max_abs,grams_mean_recompute_max_abs,theta_mean_recompute_max_abs,f_sem_recompute_max_abs,grams_sem_recompute_max_abs,theta_sem_recompute_max_abs,gram_symmetry_max_abs,gram_min_eigenvalue,theta_symmetry_max_abs,theta_min_eigenvalue_recomputed,theta_min_stored_recompute_max_abs,loss_identity_max_abs,loss_dot_identity_max_abs,projected_energy_min,projected_energy_max,projected_energy_max_abs_from_one
exact_ensemble_n128_L32_S32_seed3000_dt0p02_T8p0.npz,valid,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6434963236821494,0.0,2.0025176803474776,,,,,,
exact_ensemble_n128_L32_S64_seed5000_dt0p02_T8p0.npz,valid,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587533588584666,0.0,1.945663980720706,,,,,,
exact_ensemble_n256_L32_S32_seed6000_dt0p02_T8p0.npz,valid,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7282412505378119,0.0,2.0907187099476543,,,,,,
exact_ensemble_n256_L32_S32_seed8000_dt0p02_T8p0.npz,valid,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748913401887494,0.0,2.22689900169001,,,,,,
exact_ensemble_n256_L32_S64_seed10000_dt0p02_T8p0.npz,valid,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7282344374505524,0.0,2.0872191257387827,,,,,,
exact_ensemble_n256_L64_S16_seed7000_dt0p02_T8p0.npz,valid,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7384046153105711,0.0,2.036047555195515,,,,,,
exact_ensemble_n256_L64_S48_seed12000_dt0p02_T8p0.npz,valid,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7001361435337797,0.0,1.957540160657552,,,,,,
exact_ensemble_n512_L32_S16_seed14000_dt0p02_T8p0.npz,valid,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309152493310965,0.0,2.2916871410074897,,,,,,
exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,valid,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49528640704926663,0.0,1.7037646470366947,,,,,,
exact_ensemble_n64_L32_S64_seed4000_dt0p02_T8p0.npz,valid,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5137830755391313,0.0,1.5311897756766195,,,,,,
