reference,m,network_width_n,depth_L,ensemble_size_S,archive_status,members,output_sem_norm_max,output_sem_norm_rms,output_sem_norm_terminal,gram_sem_fro_max,gram_sem_fro_rms,gram_sem_fro_terminal_max,theta_sem_fro_max,theta_sem_fro_rms,theta_sem_fro_terminal,bootstrap_replicates,output_mean_sup_bootstrap_p95,gram_mean_sup_bootstrap_p95,gram_increment_mean_sup_bootstrap_p95,theta_mean_sup_bootstrap_p95,loss_of_mean_sup_bootstrap_p95
exact_ensemble_n128_L32_S32_seed3000_dt0p02_T8p0.npz,3,128,32,32,valid,,0.027616406771541643,0.00528432466926146,7.37120785801803e-12,0.05608196660640151,0.05110873155592067,0.05142434629793118,0.12450591973839743,0.10509537820472692,0.10308658786365289,500,0.043592389687490886,0.07932569478675723,0.016918105875281298,0.2054738529774318,0.0357446892119795
exact_ensemble_n128_L32_S64_seed5000_dt0p02_T8p0.npz,3,128,32,64,valid,,0.01894191111860281,0.003317526772693184,2.332348484661455e-12,0.04026871320573246,0.036902855619085524,0.037405435348631805,0.0770130897153563,0.07013234405875762,0.06943408649427874,500,0.030460701576998265,0.05801181938629222,0.009844309565789746,0.12185867365753299,0.02219265860396587
exact_ensemble_n256_L32_S32_seed6000_dt0p02_T8p0.npz,3,256,32,32,valid,,0.02189882224601737,0.003736227951439199,1.0712034273314803e-12,0.03987817824863894,0.037672918834007925,0.03835818411133897,0.08001444215685544,0.0720740896453355,0.07125059375521868,500,0.03471923318312294,0.06053948771622973,0.01075594267580182,0.13389682756103038,0.021412813870746956
exact_ensemble_n256_L32_S32_seed8000_dt0p02_T8p0.npz,3,256,32,32,valid,,0.01759780430282737,0.0032398655933823153,3.058027659568594e-13,0.04007272875022626,0.03683279594251818,0.03707011207762932,0.077188665063187,0.06614213640045903,0.06504166010997628,500,0.030654284820633836,0.061006432548295964,0.009939028954866739,0.127685494948093,0.019503576353656307
exact_ensemble_n256_L32_S64_seed10000_dt0p02_T8p0.npz,3,256,32,64,valid,,0.01356724996179232,0.0024004916460209557,6.078211829135604e-13,0.027687051199722666,0.02542071976618015,0.025627077371700516,0.05134509916907305,0.04579784039106933,0.04525058763451088,500,0.021907613331609243,0.04013269679898539,0.006730566307562548,0.08066001888498502,0.016990085841554207
exact_ensemble_n256_L64_S16_seed7000_dt0p02_T8p0.npz,3,256,64,16,valid,,0.024024681757346976,0.004534222978170851,2.3163042779894725e-12,0.056444221471062504,0.052261387976402514,0.052274896907025734,0.11511558006123825,0.10208609518561539,0.10070250868043361,500,0.039068650461396945,0.081974956756807,0.014331440049758698,0.18097097532029788,0.023067584781404235
exact_ensemble_n256_L64_S48_seed12000_dt0p02_T8p0.npz,3,256,64,48,valid,,0.015873933710231332,0.002741743359868628,8.54704751905863e-13,0.03197837186589085,0.030112732304947903,0.030352809790156345,0.06303449463621182,0.05615846831435686,0.0554306009314511,500,0.024167311885846338,0.04628152750933241,0.008222231441523786,0.10298346230565232,0.01726194612588749
exact_ensemble_n512_L32_S16_seed14000_dt0p02_T8p0.npz,3,512,32,16,valid,,0.016641213731940708,0.0031144710179941853,2.933186394165701e-13,0.04259040563401579,0.039979544379249624,0.040452083264744455,0.08646896647665918,0.0803434444584831,0.07981091768038245,500,0.02459695275251945,0.06329500044316215,0.008887702133765604,0.12526248875732998,0.014994611409572828
exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,3,64,16,64,valid,,0.025813118771445518,0.0047378983963488495,2.634704863690597e-11,0.054628931524273255,0.04968499971383401,0.0503495152754612,0.11055418472886772,0.09541554573241426,0.09378384919319686,500,0.04251116209758966,0.07981450891597414,0.015254335866230692,0.17744120103548472,0.029563268793294215
exact_ensemble_n64_L32_S64_seed4000_dt0p02_T8p0.npz,3,64,32,64,valid,,0.0308420947185167,0.005462809752030813,6.781264267783467e-11,0.054965532971593574,0.05022268872020872,0.05110396032702037,0.11354667002000797,0.0989445922535176,0.09735106614617801,500,0.04926269504820006,0.08369767063031773,0.017233922991267605,0.18490167198358579,0.03380715372065092
