label,source_table,output_curve_scale,gram_curve_scale,theta_curve_scale,gram_increment_curve_scale,loss_of_mean_curve_scale,pde_feature_motion_scale,gram_increment_fraction_pde_motion,interpretation
RK4 dt 0.02 vs 0.01,pde_solver_convergence.csv,6.825755252539374e-08,1.0896051639615654e-07,3.558843561001401e-07,1.0896051639615654e-07,2.507546315033693e-08,,,Pure time-discretization Cauchy difference.
PDE depth N16 vs N32,pde_solver_convergence.csv,0.000205069537552901,0.000844940571191566,0.00662832957364572,0.0008449406519934582,5.237402621360854e-05,,,Depth-discretization Cauchy difference.
PDE operator basis P5 vs P15,pde_solver_convergence.csv,0.0036813397197423825,0.007444635832808725,0.04187629622202625,0.007432832996997149,0.001766884850028294,,,Finite-P model-resolution difference.
Clean hybrid PDE basis P5 vs P15,pde_solver_convergence.csv,0.0011237089124120675,0.002761220796577791,0.020703676952026455,0.002757736494100319,0.0004886576624124339,,,"Nested finite-P step at fixed N,M,R and cubature seed."
Clean hybrid P15 fast cubature R128 vs R256,pde_solver_convergence.csv,0.0006044917458310758,0.0009648097340811989,0.0076804006606647456,0.0009647454014264356,0.00026179396057329773,,,Isolated fast-cubature refinement for the nested P15 PDE.
PDE base cubature M256 vs M512,pde_solver_convergence.csv,0.00015256030449137885,0.0007832182892096894,0.0063229168529288105,0.000783218289209613,3.202826863279301e-05,,,Isolated high-resolution base-cubature difference.
PDE fast cubature R128 vs R256,pde_solver_convergence.csv,0.00011175609922917245,0.0011603455013098605,0.0063211383176348165,0.0011590849967951092,2.4853908615951603e-05,,,Isolated high-resolution fast-cubature difference.
Tensor GH vs high-resolution QMC,pde_solver_convergence.csv,0.010310209347280306,0.01935982843528039,0.14583467373089254,0.019363802231414404,0.005898559211304472,,,Independent cubature-method disagreement; M/R differ.
QMC scramble spread at M256/R128,qmc_replicate_summary.csv,0.0013216058239462448,0.0021275463801835965,0.037075001157248565,,,,,Maximum pairwise difference over three independent scrambles.
Primary PDE vs pooled exact n256/L32 S128,pde_reference_discrepancy.csv,0.010752997608040587,0.019407504276630565,0.03340430967791031,0.007243343266500024,0.0018456582720173254,0.6338011211613804,0.011428416619439366,Preregistered primary comparison; increment Gram cancels independent finite-sample initialization noise.
Exact width n128 vs n256 at L32,exact_limit_differences.csv,0.014471929807985843,0.048630395712814876,0.1628113023516633,0.012435670690396663,0.0030862439608652648,,,Finite-width reference Cauchy difference.
Exact depth L32 vs L64 at n256,exact_limit_differences.csv,0.010284138268004258,0.0440773287500751,0.06918414628391939,0.004226285138990869,0.0014719591385172759,,,Finite-depth reference Cauchy difference.
Exact n256 Gram increment L32 vs L64,exact_limit_differences.csv,0.015429022073749986,0.07844007323820544,0.12817294572456173,0.00468125624526992,0.01014866620759225,,,Variance-reduced dense depth check; absolute Gram difference is dominated by independent initialization.
Exact n256 Gram increment L32 vs L64,exact_limit_differences.csv,0.01082910720611806,0.06006923280221764,0.09329999928330517,0.0062515798975130345,0.007448429256161626,,,Variance-reduced dense depth check; absolute Gram difference is dominated by independent initialization.
