pde,reference_block_or_pool,n,depth,seeds,held_out_content,output_sup,output_increment_sup,loss_of_mean_sup,gram_absolute_sup,gram_increment_sup,gram_increment_terminal,gram_increment_time_of_max,gram_increment_depth_fraction_of_max,theta_sup,left_terminal_feature_motion,right_terminal_feature_motion,gram_increment_fraction_left_motion
P5,n256_L32_seed6000_S32,256,32,32,False,0.007974079763650211,0.0087982754358146,0.0009250140091780212,0.03138711948030551,0.008075688118440713,0.008075688118440713,8.0,1.0,0.04735902557805547,0.6338011211613804,0.6401448730403688,0.012741675343904064
P15,n256_L32_seed6000_S32,256,32,32,False,0.00797407976365022,0.008649297599155004,0.0004694082666416577,0.03138466561106468,0.009993293477820022,0.009993293477820022,8.0,1.0,0.05379705753336551,0.6315521785488182,0.6401448730403688,0.015823385331015138
P5,n256_L32_seed8000_S32,256,32,32,False,0.02628663756120978,0.02628663756185665,0.0033217631602719955,0.02841885714706545,0.006165430902000099,0.0055656622799596794,0.24,1.0,0.061016075047717354,0.6338011211613804,0.6383451800308548,0.009727705894086353
P15,n256_L32_seed8000_S32,256,32,32,False,0.026286637561209795,0.026286637561746602,0.0033217631602719955,0.029390789455982298,0.007480501745936521,0.007480501745936521,8.0,1.0,0.0691661768254327,0.6315521785488182,0.6383451800308548,0.011844629786766364
P5,n256_L32_seed10000_S64,256,32,64,False,0.010018316671372651,0.010018316671012828,0.005109407452853709,0.019437890366241044,0.007855326683926937,0.007855326683926937,8.0,1.0,0.0313398332763322,0.6338011211613804,0.6405764211660426,0.012393993039224664
P15,n256_L32_seed10000_S64,256,32,64,False,0.010018316671372682,0.010018316671021904,0.005109407452853709,0.019427371155893495,0.009813959663377118,0.009813959663377118,8.0,1.0,0.04478206922860962,0.6315521785488182,0.6405764211660426,0.015539428089580268
P5,n256_L64_seed7000_S16,256,64,16,False,0.022073051336681686,0.022354194811169983,0.009909484249945089,0.07698163697134468,0.00995221744107556,0.00995221744107556,8.0,1.0,0.1283021958747461,0.6338011211613804,0.6430229438490003,0.0157024295300063
P15,n256_L64_seed7000_S16,256,64,16,False,0.022073051336681686,0.02251723397451365,0.009909484249945089,0.07698758372078714,0.012235134752835358,0.012235134752835358,8.0,1.0,0.12975779419037572,0.6315521785488182,0.6430229438490003,0.019373117801523978
P5,n256_L64_seed12000_S48_HELDOUT,256,64,48,True,0.016823544793693752,0.016823544809760817,0.007687611213808787,0.054536488821461705,0.005955443730895438,0.005955443730837642,7.6000000000000005,1.0,0.08614583684167124,0.6338011211613804,0.6371548362236822,0.009396391915468141
P15,n256_L64_seed12000_S48_HELDOUT,256,64,48,True,0.016823544793693766,0.016823544808747693,0.007687611213808787,0.05495807995754066,0.007552640868344072,0.007552640868344072,8.0,1.0,0.08479443301679412,0.6315521785488182,0.6371548362236822,0.011958854905225004
P5,n512_L32_seed14000_S16_HELDOUT,512,32,16,True,0.02397641402213585,0.023978163911799154,0.019871846904901846,0.03867551232416729,0.00989737127468801,0.003993128586622861,0.32,1.0,0.10917220470247121,0.6338011211613804,0.6351138414565706,0.015615894235958461
P15,n512_L32_seed14000_S16_HELDOUT,512,32,16,True,0.023976414022135857,0.02397715158141628,0.019871846904901846,0.039425739381731544,0.011730118385285955,0.0045625012535987644,0.36,1.0,0.12433817442902834,0.6315521785488182,0.6351138414565706,0.018573474660857705
P5,n256_L64_seed12000_S16_SUBBLOCK,256,64,16,True,0.03693300700816852,0.036933008822310105,0.03192958789643252,0.08443192114423215,0.010687727775477515,0.010687727775477515,8.0,0.96875,0.15044239437722254,0.6338011211613804,0.6275074058155115,0.01686290449580346
P15,n256_L64_seed12000_S16_SUBBLOCK,256,64,16,True,0.03693300700816854,0.03693300712673396,0.03192958789643252,0.08456999123330024,0.010809214741951994,0.009309396894787419,0.24,1.0,0.15844128936093752,0.6315521785488182,0.6275074058155115,0.017115315423009748
P5,n256_L64_seed12016_S16_SUBBLOCK,256,64,16,True,0.02368912390824629,0.02452095275107766,0.003791902820082016,0.0771612333002286,0.005769430295501623,0.005768226250372013,2.12,0.203125,0.13049134549286645,0.6338011211613804,0.6317122509082425,0.009102903265506519
P15,n256_L64_seed12016_S16_SUBBLOCK,256,64,16,True,0.02368912390824631,0.024652961419503894,0.003791902820082016,0.07716154572445097,0.006172704870849917,0.0061726584889677276,3.0,0.03125,0.13746888423520143,0.6315521785488182,0.6317122509082425,0.00977386363393373
P5,n256_L64_seed12032_S16_SUBBLOCK,256,64,16,True,0.034836393478146384,0.034836393481162194,0.006915755533456858,0.06738371897581551,0.01969023064420509,0.01969023064420509,8.0,1.0,0.1629659847593859,0.6338011211613804,0.6522943789615834,0.031066891469242925
P15,n256_L64_seed12032_S16_SUBBLOCK,256,64,16,True,0.034836393478146356,0.03483639348086854,0.0065295113961347795,0.06883916095508644,0.022058169788029977,0.022058169788029977,8.0,1.0,0.14765066404953328,0.6315521785488182,0.6522943789615834,0.03492691583887064
P5,n512_L32_seed14000_S8_HALF,512,32,8,True,0.033220801883802005,0.03322091024937127,0.03070108647666492,0.048420536010035486,0.011397268901572383,0.0032374887542463465,0.28,0.9375,0.14789045065457726,0.6338011211613804,0.6311630318706098,0.017982405712201912
P15,n512_L32_seed14000_S8_HALF,512,32,8,True,0.033220801883802026,0.033220834158037095,0.03070108647666492,0.04863803692537151,0.01283759273928386,0.002963478012821405,0.28,0.96875,0.16291629780427386,0.6315521785488182,0.6311630318706098,0.020327050044830982
