pde,reference,reference_seeds,observed_gram_increment_sup,schemes,q95_by_scheme,tail_probability_by_scheme,decision
P5,E256_L32_S128,128,0.007243343266500024,pooled;stratified,pooled=0.0050619974351815335;stratified=0.0049812166847462589,pooled=0.0029985007496251873;stratified=0.0034982508745627187,statistically_resolved_at_curvewise_5pct
P5,E256_L64_old_S16,16,0.00995221744107556,pooled,pooled=0.014317910319298547,pooled=0.20389805097451275,not_statistically_resolved_at_curvewise_5pct
P5,E256_L64_new_S48,48,0.005955443730895438,pooled,pooled=0.0085076742352610223,pooled=0.21789105447276361,not_statistically_resolved_at_curvewise_5pct
P5,E256_L64_S64,64,0.006563901629082725,pooled;stratified,pooled=0.0070733300087855357;stratified=0.0071118777984844582,pooled=0.077461269365317345;stratified=0.079960019990005002,not_statistically_resolved_at_curvewise_5pct
P5,E512_L32_S16,16,0.00989737127468801,pooled,pooled=0.0092156634623414783,pooled=0.02798600699650175,statistically_resolved_at_curvewise_5pct
P15,E256_L32_S128,128,0.009202036002098544,pooled;stratified,pooled=0.0050619974351815335;stratified=0.0049812166847462589,pooled=0.00049975012493753122;stratified=0.00049975012493753122,statistically_resolved_at_curvewise_5pct
P15,E256_L64_old_S16,16,0.012235134752835358,pooled,pooled=0.014317910319298547,pooled=0.095452273863068468,not_statistically_resolved_at_curvewise_5pct
P15,E256_L64_new_S48,48,0.007552640868344072,pooled,pooled=0.0085076742352610223,pooled=0.087456271864067972,not_statistically_resolved_at_curvewise_5pct
P15,E256_L64_S64,64,0.008481101505053282,pooled;stratified,pooled=0.0070733300087855357;stratified=0.0071118777984844582,pooled=0.016991504247876061;stratified=0.01249375312343828,statistically_resolved_at_curvewise_5pct
P15,E512_L32_S16,16,0.011730118385285955,pooled,pooled=0.0092156634623414783,pooled=0.0044977511244377807,statistically_resolved_at_curvewise_5pct
