category,isolated_axis,left,right,note,overlap_start,overlap_end,time_points_compared,output_max_l2,output_rms_l2,output_terminal_l2,output_max_abs_component,output_initial_l2,output_time_of_max_l2,output_initial_centered_max_l2,output_initial_centered_rms_l2,output_initial_centered_terminal_l2,loss_max_abs,loss_terminal_abs,depth_interpolated,depth_points_compared,gram_max_fro,gram_rms_fro,gram_terminal_max_fro,gram_max_abs_entry,gram_initial_max_fro,gram_time_of_max_fro,gram_depth_fraction_of_max_fro,gram_initial_centered_max_fro,gram_initial_centered_rms_fro,gram_initial_centered_terminal_max_fro,theta_max_fro,theta_rms_fro,theta_terminal_fro,theta_max_abs_entry,theta_initial_fro,theta_initial_centered_max_fro,theta_initial_centered_terminal_fro
time_step,dt,pde_QMC_P5_N16_M64_R32_s20260723_dt0p02_T4.npz,pde_QMC_P5_N16_M64_R32_s20260723_dt0p01_T4.npz,Same PDE/quadrature; RK4 dt 0.02 versus 0.01.,0.0,4.0,101,6.825755252539374e-08,2.686569865808609e-08,1.1932817872898171e-12,5.102326117167877e-08,0.0,0.52,6.825755252539374e-08,2.6865698658098665e-08,1.1932817872898171e-12,2.507546315033693e-08,4.687879554989433e-19,False,17,1.0896051639615654e-07,4.7779845727030225e-08,4.498570495059848e-08,5.984977180517603e-08,0.0,0.56,1.0,1.0896051639615654e-07,4.777984572703028e-08,4.498570495059848e-08,3.558843561001401e-07,2.0893520750168265e-07,1.63266798750123e-07,2.0558575597462436e-07,0.0,3.558843561001401e-07,1.63266798750123e-07
depth_grid,N,pde_QMC_P5_N8_M128_R64_s20260724_dt0p02_T4.npz,pde_QMC_P5_N16_M128_R64_s20260724_dt0p02_T4.npz,"Same P,M,R,QMC scramble; normalized-depth interpolation for Grams.",0.0,4.0,101,0.0004057630382002805,0.0001499244206507772,4.676639161658115e-09,0.0002938378013547238,3.8331108762724224e-17,0.56,0.0004057630382002805,0.00014992442065078795,4.676639240842048e-09,0.00010371703889920647,7.216038342357088e-16,True,257,0.0016762420191613339,0.0006682191597602356,0.001540108799021384,0.000898458280806036,1.447834521785225e-08,0.88,1.0,0.0016762421809076843,0.0006682194018571507,0.0015401089640377018,0.013076579261937315,0.012156495150980344,0.013010484766057406,0.008223714504850488,9.118431413030059e-07,0.013076314955251564,0.013010216942669782
depth_grid,N,pde_QMC_P5_N16_M128_R64_s20260724_dt0p02_T4.npz,pde_QMC_P5_N32_M128_R64_s20260724_dt0p02_T4.npz,"Same P,M,R,QMC scramble; normalized-depth interpolation for Grams.",0.0,4.0,101,0.000205069537552901,7.570850605518184e-05,2.304013235815187e-09,0.00014835741012442227,5.632511157154734e-17,0.56,0.0002050695375529276,7.570850605518211e-05,2.3040131672074027e-09,5.237402621360854e-05,3.5042175435846396e-16,True,257,0.000844940571191566,0.00034897802410696133,0.0007757545292364994,0.0004529304373281917,3.6195864180298238e-09,0.88,1.0,0.0008449406519934582,0.0003489781361176821,0.0007757546117087665,0.00662832957364572,0.006161765291899208,0.006594911489932156,0.004170676069986001,4.561463675956278e-07,0.006628196709207978,0.0065947768674097474
operator_basis,P,pde_QMC_P5_N16_M128_R64_s20260723_dt0p02_T4.npz,pde_QMC_P15_N16_M128_R64_s20260723_dt0p02_T4.npz,"Same N,M,R,QMC scramble; P=5 versus P=15.",0.0,4.0,101,0.0036813397197423825,0.001168116566307663,2.28909994175275e-08,0.0036429751129467003,2.473121955383221e-17,0.24,0.0036813397197423842,0.001168116566307667,2.2890999445266506e-08,0.001766884850028294,1.534401565056968e-16,False,17,0.007444635832808725,0.004373305545575315,0.006971832223277769,0.007042786297246639,8.352542700128468e-05,0.6,1.0,0.007432832996997149,0.004368855673433929,0.006960685712941587,0.04187629622202625,0.0301218069748112,0.030828699913691363,0.04160124194151438,0.04187629622202625,0.061188190003353196,0.061188190003353196
operator_basis,P,pde_P5_N16_M128_R32_s20260723_dt0p02_T8.npz,pde_P15_N16_M128_R32_s20260723_dt0p02_T8.npz,"Same N,M,R,QMC scramble under the earlier filename schema.",0.0,8.0,201,0.0030891325260398324,0.00089330354730478,4.813338248982946e-13,0.00290838015974193,7.977017023561672e-17,0.32,0.0030891325260398064,0.0008933035473047702,4.813438086773492e-13,0.0012150627379717283,3.354233348844875e-25,False,17,0.004643362146114436,0.0031594294140575834,0.003936288718208966,0.0039040019040996743,0.00016270251040026695,0.6,1.0,0.00476434846158742,0.003191210338532231,0.004047079388741715,0.0785619181297187,0.07662199519924344,0.07852125157273053,0.05095611136751632,0.04782967865801863,0.07320454353380534,0.07311534832562959
operator_basis_clean_hybrid,P,pde_HYBRID_P5_N16_M81_R128_s20260723_dt0p02_T8.npz,pde_HYBRID_P15_N16_M81_R128_s20260723_dt0p02_T8.npz,"Clean nested hybrid basis step at fixed N,M,R and seed.",0.0,8.0,201,0.0011237089124120675,0.0002906519750850241,1.525052069839301e-14,0.0008074870709126047,8.142533025472638e-18,0.4,0.0011237089124120675,0.0002906519750850242,1.525052069839301e-14,0.0004886576624124339,8.136231257763829e-27,False,17,0.002761220796577791,0.0014997567078871153,0.002426205145726144,0.0013193363393972923,5.152260330821709e-06,0.72,1.0,0.002757736494100319,0.0014983164871486606,0.0024226780904945053,0.020703676952026455,0.01975084176727051,0.01999676292865135,0.014409314024559361,0.009397501546870099,0.014938393696233508,0.014754116274396366
fast_quadrature_clean_hybrid,R,pde_HYBRID_P15_N16_M81_R128_s20260723_dt0p02_T8.npz,pde_HYBRID_P15_N16_M81_R256_s20260723_dt0p02_T8.npz,"Clean hybrid P15 fast-cubature refinement at fixed N,M,P and seed.",0.0,8.0,201,0.0006044917458310758,0.00014439992290478504,3.83830609808345e-15,0.0004839052732560911,8.732090621941035e-18,0.32,0.0006044917458310758,0.000144399922904785,3.83830609808345e-15,0.00026179396057329773,2.5642755725944964e-28,False,17,0.0009648097340811989,0.0006379444476167414,0.0008261857923011097,0.0006418264468985857,1.9716755544893853e-06,0.56,1.0,0.0009647454014264356,0.0006378838473650007,0.0008260386357029631,0.0076804006606647456,0.002412803396224531,0.0015868115887734994,0.006960954187419599,0.007611272241539951,0.0071083184120284745,0.007108318138331681
operator_basis_and_base_quadrature,P_and_M,pde_HYBRID_P15_N16_M81_R128_s20260723_dt0p02_T8.npz,pde_HYBRID_P35_N16_M256_R128_s20260723_dt0p02_T8.npz,"P15 to complete-cubic P35 stress test; base cubature changes, so not a one-axis P refinement.",0.0,8.0,201,0.003129141373249833,0.0008178065660939955,1.0995345269101139e-13,0.002722291539692112,1.8260663186848027e-17,0.4,0.003129141373249833,0.0008178065660939955,1.0995345269101139e-13,0.0013496142217868379,4.9506716392278055e-26,False,17,0.00614344407864755,0.0026902376851033047,0.004958196151260195,0.0033502976982100474,5.6973835833832e-06,0.64,1.0,0.006146169923138299,0.002691416788972805,0.004960866933711709,0.05703615868675554,0.05437203351979835,0.05484214770528574,0.054974276223230145,0.02620953928487373,0.0372002918632396,0.03674158757870677
base_quadrature,M,pde_QMC_P5_N16_M64_R32_s20260723_dt0p02_T4.npz,pde_P5_N16_M128_R32_s20260723_dt0p02_T8.npz,"Same P,N,R,QMC scramble; M=64 versus M=128.",0.0,4.0,101,5.792298765336165e-05,2.1342246841273207e-05,2.8782007937398778e-09,4.774411303931636e-05,8.62546767193458e-16,0.64,5.7922987653626064e-05,2.134224684140566e-05,2.8782007084390493e-09,1.1777273964591606e-05,1.160578056596985e-15,False,17,0.0009327128140924607,0.0004762280194652254,0.0009326550868428197,0.0005137505239445339,2.766618139197842e-15,2.32,1.0,0.0009327128140917913,0.0004762280194645847,0.00093265508684215,0.00259396076147063,0.002387184996194688,0.002589781674627008,0.0015826486131946815,3.64929949716507e-15,0.0025939607614701558,0.002589781674626539
base_quadrature,M,pde_QMC_P5_N16_M256_R128_s20260723_dt0p02_T8.npz,pde_QMC_P5_N16_M512_R128_s20260723_dt0p02_T4.npz,"Same P,N,R,QMC scramble; isolated M=256 versus M=512.",0.0,4.0,101,0.00015256030449137885,5.679400015615358e-05,6.619381422922057e-09,0.00013946569953426913,1.484753439783207e-15,0.64,0.00015256030449101017,5.67940001559508e-05,6.619381058725795e-09,3.202826863279301e-05,1.9959682000765174e-15,False,17,0.0007832182892096894,0.0003749939532072157,0.0007528494379505561,0.0006961690215392391,3.5855700116225256e-15,1.08,1.0,0.000783218289209613,0.0003749939532072297,0.0007528494379504713,0.0063229168529288105,0.0058422870395266335,0.006305917486082156,0.005131232066287961,4.913298919406981e-15,0.006322916852926,0.00630591748607935
fast_quadrature,R,pde_P5_N16_M128_R32_s20260723_dt0p02_T8.npz,pde_QMC_P5_N16_M128_R64_s20260723_dt0p02_T4.npz,"Same P,N,M,QMC scramble; R=32 versus R=64.",0.0,4.0,101,0.0062458680083116724,0.0023526554044613016,2.430217172578593e-07,0.006208990507944545,2.7551537742692336e-17,0.4,0.006245868008311671,0.0023526554044613003,2.430217172683648e-07,0.0021061367299949896,7.011748743718199e-14,False,17,0.010986050014823981,0.005434949463270569,0.00886202583229345,0.01060124689466968,4.12511793651007e-05,0.68,1.0,0.010969946164804019,0.005429039528574499,0.008846308336250943,0.09052031309005695,0.0851948630887681,0.08686141463900374,0.08535221531670034,0.034213977567307825,0.05827564862279548,0.056329279159040714
fast_quadrature,R,pde_QMC_P5_N16_M256_R128_s20260723_dt0p02_T8.npz,pde_QMC_P5_N16_M256_R256_s20260723_dt0p02_T4.npz,"Same P,N,M,QMC scramble; isolated R=128 versus R=256.",0.0,4.0,101,0.00011175609922917245,4.4497707902822784e-05,2.921446486239721e-09,0.00010579798252097206,3.516360330999865e-17,0.64,0.00011175609922912015,4.4497707902797136e-05,2.921446431933471e-09,2.4853908615951603e-05,3.9660924994840227e-16,False,17,0.0011603455013098605,0.0009422258731767882,0.0011505452653664814,0.0007353051643357866,4.80902866486757e-06,1.24,1.0,0.0011590849967951092,0.0009417980709717,0.001149299276592784,0.0063211383176348165,0.005836120913337154,0.006318633209577378,0.005560262713348418,0.0019802969286062456,0.007302648983655548,0.00729962678397516
