curve,time_start,tail_start,time_end,tail_output_max_drift_l2,tail_output_terminal_drift_l2,tail_output_path_length_l2,tail_start_residual_l2,tail_end_residual_l2,total_output_motion_max_l2,tail_output_drift_fraction_total,tail_start_loss,tail_end_loss,tail_loss_max_abs_change,tail_gram_max_drift_fro,tail_gram_terminal_max_drift_fro,tail_gram_path_length_sum_maxdepth,total_gram_motion_max_fro,tail_gram_drift_fraction_total,member_terminal_output_drift_mean,member_terminal_output_drift_sem,member_terminal_output_drift_max,member_terminal_gram_drift_mean,member_terminal_gram_drift_sem,member_terminal_gram_drift_max
PDE_P5_N16_M256_R128_T32,0.0,8.0,32.0,4.996256488546761e-13,4.996256488546761e-13,5.002617561676591e-13,4.996256488546761e-13,0.0,1.0319883720275143,4.841388356664113e-13,1.2481289449672806e-25,0.0,1.2481289449672806e-25,4.236439840938928e-13,4.236256756250764e-13,4.3534162213998403e-13,0.6338011211614332,6.684178521451179e-13,,,,,,
exact_ensemble_n128_L32_S32_seed3000_dt0p02_T8p0.npz,0.0,4.0,8.0,5.955500684455694e-07,5.955500684455694e-07,5.975528015122377e-07,5.95558036784286e-07,8.676659490760659e-12,1.0682216313275161,5.575154546397442e-07,1.7734468758917646e-13,3.7642209959303507e-23,1.7734468755153424e-13,5.742972295781603e-07,5.742972295781603e-07,5.767457949345181e-07,0.6286712938224854,9.135095481873896e-07,1.095319937683554e-06,3.2614478155077027e-07,9.923161876533369e-06,1.0328156607188313e-06,3.2009623358746506e-07,9.83880660608531e-06
exact_ensemble_n128_L32_S64_seed5000_dt0p02_T8p0.npz,0.0,4.0,8.0,4.81128847766382e-07,4.81128847766382e-07,4.831737763591797e-07,4.811325286544587e-07,4.476153397887772e-12,1.0150580289790143,4.739914704682653e-07,1.1574425506471678e-13,1.0017974620711124e-23,1.157442550546988e-13,4.7450949640714195e-07,4.7450949640714195e-07,4.765175639424027e-07,0.6284735897700947,7.55018992255068e-07,9.576309869643609e-07,1.6201487613811053e-07,8.225690866787166e-06,8.971582855915914e-07,1.5646351888048285e-07,7.979842848755054e-06
exact_ensemble_n256_L32_S32_seed6000_dt0p02_T8p0.npz,0.0,4.0,8.0,4.088102347578643e-07,4.088102347578643e-07,4.095408620307909e-07,4.088118463236528e-07,1.6961535305116769e-12,1.031756577921307,3.9622740819496344e-07,8.356356284727695e-14,1.438468399533613e-24,8.356356284583849e-14,3.817077775318644e-07,3.817077775318644e-07,3.825799491792346e-07,0.6401448730403688,5.962834252173931e-07,7.32262876678496e-07,9.588844766729089e-08,2.0827237829868786e-06,6.674419150745046e-07,9.001029586353668e-08,2.005682973017191e-06
exact_ensemble_n256_L32_S32_seed8000_dt0p02_T8p0.npz,0.0,4.0,8.0,3.09331331676649e-07,3.09331331676649e-07,3.100597632077796e-07,3.0933189516861024e-07,6.230004409224519e-13,1.0352021668834805,2.988124847225773e-07,4.7843110684302046e-14,1.9406477469478476e-25,4.784311068410798e-14,2.8552040224602253e-07,2.8552040224602253e-07,2.863146199564315e-07,0.6383451800308548,4.472821463651088e-07,4.875158302062667e-07,4.047505736664553e-08,8.802569231012294e-07,4.428657860947953e-07,3.688739560778061e-08,8.178054070415746e-07
exact_ensemble_n256_L32_S64_seed10000_dt0p02_T8p0.npz,0.0,4.0,8.0,4.871547100707278e-07,4.871547100707278e-07,4.879779637410751e-07,4.871566018883686e-07,2.0221569285609412e-12,1.0270254062550914,4.743355978379067e-07,1.186607773817112e-13,2.04455932186351e-24,1.1866077737966664e-13,4.4776327875170406e-07,4.4776327875170406e-07,4.4872249819126763e-07,0.6405764211660426,6.990005625505847e-07,6.817853411205356e-07,6.644603239152651e-08,2.768151927559135e-06,6.2109732014712e-07,6.174451411872792e-08,2.6644384451792227e-06
exact_ensemble_n256_L64_S16_seed7000_dt0p02_T8p0.npz,0.0,4.0,8.0,5.734711834779416e-07,5.734711834779416e-07,5.742781425064957e-07,5.734746255036625e-07,3.59988790767134e-12,1.041546431273369,5.505958892075794e-07,1.6443657304828297e-13,6.479596473899169e-24,1.6443657304180338e-13,5.441183896420443e-07,5.441183896420443e-07,5.450360439193087e-07,0.6430229438490003,8.461881412583289e-07,9.023705081460756e-07,1.9559671728378476e-07,2.5460998703100537e-06,8.304300643789626e-07,1.8653710114844048e-07,2.3656313885957917e-06
exact_ensemble_n256_L64_S48_seed12000_dt0p02_T8p0.npz,0.0,4.0,8.0,2.1865648985183364e-07,2.1865648985183364e-07,2.1946902537727385e-07,2.1865699661428387e-07,8.268534600589699e-13,1.0245119704386032,2.1342502202119194e-07,2.3905441084189473e-14,3.4184332220574526e-25,2.390544108384763e-14,2.2181483201934997e-07,2.2181483201934997e-07,2.225792058691474e-07,0.6371548362236822,3.4813332554142105e-07,5.867724338557684e-07,5.703281450547444e-08,1.964314115727009e-06,5.382110937080792e-07,5.492640905770677e-08,1.985629999762326e-06
exact_ensemble_n512_L32_S16_seed14000_dt0p02_T8p0.npz,0.0,4.0,8.0,3.525206093942757e-07,3.525206093942757e-07,3.529626942773185e-07,3.525212251913738e-07,6.358589217808463e-13,1.012549409258588,3.481515135665324e-07,6.213560710521363e-14,2.021582842041502e-25,6.213560710501146e-14,3.151098752772695e-07,3.151098752772695e-07,3.156500650301193e-07,0.6351138414565706,4.961470758605989e-07,4.206033480788004e-07,6.591458607893959e-08,9.736073569729424e-07,3.7720007027993487e-07,6.058935803553763e-08,9.260025569622798e-07
exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,0.0,4.0,8.0,1.4443947744485609e-06,1.4443947744485609e-06,1.4472100142761842e-06,1.4444306983091203e-06,3.834466433547445e-11,1.0322401606533065,1.399281707402666e-06,1.0431900211088864e-12,7.351566415001031e-22,1.0431900203737298e-12,1.483912126959186e-06,1.483912126959186e-06,1.4872586287096258e-06,0.6398480425066111,2.3191633456374195e-06,2.863314693575487e-06,5.239230969530888e-07,2.8791506141371347e-05,2.8294699415454467e-06,5.482248393164728e-07,3.042912265176741e-05
exact_ensemble_n64_L32_S64_seed4000_dt0p02_T8p0.npz,0.0,4.0,8.0,1.0670809942761169e-06,1.0670809942761169e-06,1.0695887611348139e-06,1.067098158987154e-06,3.004505246998918e-11,1.051815739850324,1.0145132401498051e-06,5.693492404568866e-13,4.513525889622015e-22,5.69349240005534e-13,1.1772686652924395e-06,1.1772686652924395e-06,1.1802778859196284e-06,0.6419056425411066,1.8340213689850048e-06,3.5157347403090826e-06,8.05358489744579e-07,4.069249480390107e-05,3.617314848549759e-06,8.822574944559383e-07,4.458715084330005e-05
exact_ensemble_n96_L32_S48_seed2000_dt0p02_T8p0.npz,0.0,4.0,8.0,6.761091397631461e-07,6.761091397631461e-07,6.793497737731529e-07,6.761154116977964e-07,8.223925145357122e-12,1.0370972013821673,6.519245629648574e-07,2.2856602496764033e-13,3.381647239821857e-23,2.2856602493382387e-13,6.99342990636648e-07,6.99342990636648e-07,7.024080421157351e-07,0.6415483837132141,1.0900861234953547e-06,1.4293526710446329e-06,2.0619878720294904e-07,5.941639074819155e-06,1.3691009681981033e-06,2.0622939462076981e-07,6.168291229932833e-06
pooled_exact_m3_n128_L32_S96,0.0,4.0,8.0,5.13943817251923e-07,5.13943817251923e-07,5.160561508708423e-07,5.139488594072567e-07,5.8668163702899825e-12,1.0327339097533907,4.976536670270167e-07,1.3207171504301005e-13,1.7209767161351263e-23,1.3207171502580028e-13,5.018145960753193e-07,5.018145960753193e-07,5.040879139193307e-07,0.6285346277636472,7.983881458700166e-07,1.0035273038707586e-06,1.5237848926443957e-07,9.923161876533369e-06,9.423774106340047e-07,1.4836137841378934e-07,9.83880660608531e-06
pooled_exact_m3_n256_L32_S128,0.0,4.0,8.0,4.209373142872915e-07,4.209373142872915e-07,4.2171195695605147e-07,4.2093878346448067e-07,1.571210504197089e-12,1.0301983709243907,4.085983109346087e-07,8.859472971227847e-14,1.2343512242496353e-24,8.859472971104412e-14,3.8832718877400944e-07,3.8832718877400944e-07,3.892307198962196e-07,0.639909483539111,6.068470600346635e-07,6.458373472814585e-07,4.272316659875676e-08,2.768151927559135e-06,5.88125585365885e-07,3.976468197696286e-08,2.6644384451792227e-06
pooled_exact_m3_n256_L64_S64,0.0,4.0,8.0,2.9511305959033033e-07,2.9511305959033033e-07,2.96230161185934e-07,2.951142946966053e-07,1.5162295036198686e-12,1.0287685673552804,2.868604941430082e-07,4.354622346713741e-14,1.1494759538236765e-24,4.354622346598793e-14,2.9047085301427547e-07,2.9047085301427547e-07,2.9162781925436257e-07,0.6386204375335549,4.5484114811000443e-07,6.656719524283451e-07,6.628489969482445e-08,2.5460998703100537e-06,6.112658363758001e-07,6.335117746040982e-08,2.3656313885957917e-06
exact_m2_L16_width_ensemble_large.npz:n64,0.0,2.0,4.0,0.0008098751574670295,0.0008098751574670295,0.000811845767233808,0.000810709473521577,1.0543358709973884e-06,0.9766636191747666,0.0008292262981509792,3.2862492522881633e-07,5.558120644359109e-13,3.286243694167519e-07,0.0008548350625003416,0.0008548350625003416,0.0008564287341413446,0.5705291849673627,0.0014983196040168263,,,,,,
exact_m2_L16_width_ensemble_large.npz:n128,0.0,2.0,4.0,0.0007566755062655467,0.0007566755062655467,0.0007589804984135975,0.0007572787735566529,7.671018379776185e-07,0.9768850690614921,0.0007745798663833566,2.8673557043973415e-07,2.9422261491432016e-13,2.867352762171192e-07,0.0007834404111308354,0.0007834404111308354,0.0007852097461011019,0.5804148279004467,0.0013497939292226556,,,,,,
exact_m2_L16_width_ensemble_large.npz:n256,0.0,2.0,4.0,0.0006679687456765635,0.0006679687456765635,0.0006695205929951739,0.0006683823410456629,5.066797270679609e-07,0.959417296672168,0.0006962233722421702,2.2336747691084039e-07,1.2836217291083168e-13,2.2336734854866748e-07,0.0006813443197749127,0.0006813443197749127,0.0006824523223802915,0.5728540574803441,0.001189385517790962,,,,,,
