comparison_type,comparison,left,right,left_seeds,right_seeds,depth_nodes_compared,output_sup,output_increment_sup,loss_of_mean_sup,gram_absolute_sup,gram_increment_sup,gram_increment_terminal,gram_increment_time_of_max,gram_increment_depth_fraction_of_max,theta_sup,left_terminal_feature_motion,right_terminal_feature_motion,gram_increment_fraction_left_motion
exact_cauchy,width_n256_to_n512_at_L32,E512_L32_S16,E256_L32_S128,16,128,33,0.029930638892789654,0.029930789417342566,0.01802618863288452,0.04400575754336176,0.009350424143982627,0.005440962555501151,0.28,0.9375,0.10650136795093072,0.6351138414565706,0.639909483539111,0.014722437984564086
exact_cauchy,depth_L32_to_L64_at_n256,E256_L64_S64,E256_L32_S128,64,128,65,0.010284138268004258,0.009669278106706137,0.0014719591385172759,0.0440773287500751,0.004226285138990869,0.004226285138990869,8.0,1.0,0.06918414628391939,0.6386204375335549,0.639909483539111,0.006617835713672737
exact_cauchy,depth_old_L64_block_vs_L32,E256_L64_old_S16,E256_L32_S128,16,128,65,0.016803101184121448,0.01686112046797967,0.011755142521962414,0.07881048179460425,0.0043591589339996035,0.0043591589338563205,7.04,1.0,0.12839057449248456,0.6430229438490003,0.639909483539111,0.006779165464775788
exact_cauchy,depth_heldout_L64_block_vs_L32,E256_L64_new_S48,E256_L32_S128,48,128,65,0.01158575959467896,0.010422348556375078,0.005841952941791462,0.060106372566352886,0.0053401941730034565,0.0053401941730034565,8.0,1.0,0.09638339692533474,0.6371548362236822,0.639909483539111,0.008381313095972022
pde_reference,P5_vs_E256_L32_S128,P5,E256_L32_S128,,128,33,0.010752997608040587,0.01076432393376272,0.0018456582720173254,0.019407504276630565,0.007243343266500024,0.007243343266500024,8.0,1.0,0.03340430967791031,0.6338011211613804,0.639909483539111,0.011428416619439366
pde_reference,P5_vs_E256_L64_old_S16,P5,E256_L64_old_S16,,16,65,0.022073051336681686,0.022354194811169983,0.009909484249945089,0.07698163697134468,0.00995221744107556,0.00995221744107556,8.0,1.0,0.1283021958747461,0.6338011211613804,0.6430229438490003,0.0157024295300063
pde_reference,P5_vs_E256_L64_new_S48,P5,E256_L64_new_S48,,48,65,0.016823544793693752,0.016823544809760817,0.007687611213808787,0.054536488821461705,0.005955443730895438,0.005955443730837642,7.6000000000000005,1.0,0.08614583684167124,0.6338011211613804,0.6371548362236822,0.009396391915468141
pde_reference,P5_vs_E256_L64_S64,P5,E256_L64_S64,,64,65,0.01659875049720539,0.016598782112665734,0.0033176174105346012,0.03766028377901261,0.006563901629082725,0.006563901628708429,7.16,1.0,0.05739133849211549,0.6338011211613804,0.6386204375335549,0.010356405834459551
pde_reference,P5_vs_E512_L32_S16,P5,E512_L32_S16,,16,33,0.02397641402213585,0.023978163911799154,0.019871846904901846,0.03867551232416729,0.00989737127468801,0.003993128586622861,0.32,1.0,0.10917220470247121,0.6338011211613804,0.6351138414565706,0.015615894235958461
pde_reference,P15_vs_E256_L32_S128,P15,E256_L32_S128,,128,33,0.01075299760804061,0.010757301876237729,0.0019127959801223393,0.019810392694035478,0.009202036002098544,0.009202036002098544,8.0,1.0,0.04728258799195597,0.6315521785488182,0.639909483539111,0.014570507892543416
pde_reference,P15_vs_E256_L64_old_S16,P15,E256_L64_old_S16,,16,65,0.022073051336681686,0.02251723397451365,0.009909484249945089,0.07698758372078714,0.012235134752835358,0.012235134752835358,8.0,1.0,0.12975779419037572,0.6315521785488182,0.6430229438490003,0.019373117801523978
pde_reference,P15_vs_E256_L64_new_S48,P15,E256_L64_new_S48,,48,65,0.016823544793693766,0.016823544808747693,0.007687611213808787,0.05495807995754066,0.007552640868344072,0.007552640868344072,8.0,1.0,0.08479443301679412,0.6315521785488182,0.6371548362236822,0.011958854905225004
pde_reference,P15_vs_E256_L64_S64,P15,E256_L64_S64,,64,65,0.016598750497205397,0.01659878193369112,0.0033176174105346012,0.0382466813155441,0.008481101505053282,0.008481101505053282,8.0,1.0,0.055257325455572645,0.6315521785488182,0.6386204375335549,0.013428979889739552
pde_reference,P15_vs_E512_L32_S16,P15,E512_L32_S16,,16,33,0.023976414022135857,0.02397715158141628,0.019871846904901846,0.039425739381731544,0.011730118385285955,0.0045625012535987644,0.36,1.0,0.12433817442902834,0.6315521785488182,0.6351138414565706,0.018573474660857705
