case_id,kind,window,endpoint_output_drift,endpoint_gram_drift,output_tail_arclength,gram_tail_arclength,analytic_output_speed,loss_drift,pass,memberwise_p95
B0,pde,8-16,5.229058455014634e-13,7.098250326753566e-13,5.239093204926011e-13,7.417026852201065e-13,1.7264230459817644e-12,2.7372135206325116e-25,True,
B0,pde,16-32,1.8633569316343946e-16,9.660570726844793e-17,3.2274288782264186e-16,1.3980909296178694e-16,9.649275331623526e-16,6.944198109339891e-32,True,
B0,dense,8-16,6.458314328223412e-12,9.849813035080082e-12,6.4628818073057325e-12,9.907391286824759e-12,1.8674267170691175e-11,4.174730268992142e-23,True,4.739371328788015e-11
B0,dense,16-32,1.0758096260754728e-16,6.912541710934242e-16,7.53066738252831e-16,3.1282518316932626e-14,4.604619924892396e-16,5.792332635593893e-32,True,9.563369226600282e-16
Y1,pde,8-16,5.888564159152776e-13,8.105168921001229e-13,5.900770235279611e-13,8.347101430717062e-13,1.946662902722438e-12,3.51906868524097e-25,True,
Y1,pde,16-32,5.3493509225279394e-17,4.357900467990678e-17,5.3493509225279394e-17,4.357900467990678e-17,6.20349363069613e-16,8.707010474446198e-33,True,
Y1,dense,8-16,1.1538182907078063e-12,1.6772613372151652e-12,1.158053284271506e-12,1.7585286562202797e-12,3.574259031519202e-12,1.3310661153353378e-24,True,8.641540800035654e-12
Y1,dense,16-32,5.3493509225279394e-17,7.892493426264976e-16,1.362593939696341e-15,5.5238732851523006e-14,4.326302527323193e-16,8.584666587705158e-33,True,9.83366028201332e-16
Y2,pde,8-16,2.0884804313721312e-14,2.7546748628264257e-14,2.1991334443238728e-14,4.598950669350276e-14,7.038249667712394e-14,4.477734677537517e-28,True,
Y2,pde,16-32,2.3941082816521556e-16,0.0,3.21203331796166e-16,0.0,9.366797172552848e-16,5.786831757783243e-32,True,
Y2,dense,8-16,2.3379077841586714e-12,3.8296570715490336e-12,2.3474663645778198e-12,3.893305084081023e-12,6.875575020022444e-12,5.464649146438378e-24,True,4.172350887475147e-11
Y2,dense,16-32,1.0706777726538866e-16,5.050529482150811e-16,1.3918811044500526e-15,3.4750801383322014e-14,2.414704899976321e-16,5.731754464275444e-32,True,9.533565009220118e-16
Y3,pde,8-16,3.946381708443397e-14,6.761399013153775e-14,3.984693866410877e-14,9.165911050989454e-14,1.5665674550585324e-13,1.6064454926498172e-27,True,
Y3,pde,16-32,6.691688912202839e-18,1.4386027469066088e-15,5.018766684152129e-16,8.021621612523722e-15,1.6824208433609254e-15,6.852004873920912e-37,True,
Y3,dense,8-16,3.4186851768844125e-13,5.909651347662842e-13,3.438527621698339e-13,6.681402181963153e-13,1.0827239540097842e-12,1.1713911910827775e-25,True,4.8968127808523085e-12
Y3,dense,16-32,1.7635587588303257e-17,3.6203943929803026e-16,4.2424465375782926e-16,2.7678387123696068e-14,6.571033248448243e-16,3.728140133112704e-34,True,8.699543177925139e-16
Y4,pde,8-16,6.342387092630535e-16,5.432584709864051e-16,9.648531785649462e-16,3.9634134349658735e-15,2.8246902744595653e-15,4.166518865603935e-31,True,
Y4,pde,16-32,0.0,0.0,0.0,0.0,2.9675793050611427e-16,0.0,True,
Y4,dense,8-16,1.1901787350212164e-15,9.843197627007249e-16,4.6106004858170015e-15,3.457427634526794e-14,4.014748190243763e-15,1.0832253221680674e-30,True,3.348907677773324e-15
Y4,dense,16-32,0.0,2.3001829815839416e-16,0.0,4.4003568972758094e-15,1.8426416591241804e-16,0.0,True,2.8846541749911117e-16
X1,pde,8-16,2.343637523611767e-07,3.2562808640668543e-07,2.3436375245996104e-07,3.2562809108219104e-07,4.5896267579945944e-07,5.492638556099687e-14,True,
X1,pde,16-32,3.604351605177693e-14,5.3419044731141294e-14,3.9311445448094095e-14,1.2694168462426392e-13,7.161292060626244e-14,1.3368188977813858e-27,True,
X1,dense,8-16,2.6890370029741556e-07,3.8263761064120077e-07,2.6890372902834956e-07,3.8263766277034045e-07,5.165318653604922e-07,7.259703700594403e-14,True,8.539262134336392e-07
X1,dense,16-32,6.629929402012922e-14,9.17045582275611e-14,7.803810147154167e-14,2.303650619781762e-13,1.2466008628512653e-13,4.384599935989454e-27,True,3.0582992258053167e-13
X2,pde,8-16,4.363361224695383e-05,6.063923901146564e-05,4.392078803513141e-05,6.109612293344657e-05,4.7743235160718176e-05,1.9048378405453884e-09,False,
X2,pde,16-32,1.1318442453581684e-08,1.5914879252141123e-08,1.1318450300113686e-08,1.591498072454477e-08,1.1620401700974668e-08,1.2810718744083153e-16,True,
X2,dense,8-16,3.4795562464505433e-05,4.887043096868915e-05,3.5059936710447554e-05,4.930335858768213e-05,3.953534795242272e-05,1.2135662639604747e-09,False,0.00019066083384066093
X2,dense,16-32,7.82969755344877e-09,1.1116725556498642e-08,7.829703869098069e-09,1.1116838569151306e-08,8.116778880303767e-09,6.142155484779456e-17,True,4.896948806527142e-08
M2,pde,8-16,8.964665732604084e-13,1.2258743605376287e-12,8.972377178852113e-13,1.2597592534921252e-12,2.8849382338984336e-12,8.078054286313464e-25,True,
M2,pde,16-32,0.0,9.701341532746653e-17,0.0,9.701341532746653e-17,8.336761219871798e-16,0.0,True,
M2,dense,8-16,1.1205902566826215e-11,1.7280156221541978e-11,1.1209249109761514e-11,1.7341280468643897e-11,3.16047670564218e-11,1.25573454846473e-22,True,1.323956107304918e-10
M2,dense,16-32,1.1409571692802777e-16,7.881407118852369e-16,1.1409571692802777e-16,2.0940004521064255e-14,3.828539439725981e-16,6.508916310660329e-32,True,1.0975815015058965e-15
M4,pde,8-16,0.12614832448013585,0.1525551749954424,0.12615055902916314,0.15260474839352664,0.03829642771760888,0.01901524386466967,False,
