case_id,status,pass,scramble_gram_normalized,scramble_output_normalized,qmc_gram_normalized,qmc_output_normalized,time_gram_normalized,time_output_normalized,depth_gram_normalized,depth_output_normalized,identity_defect,minimum_theta_eigenvalue,fallback_r256_gram_vs_r128,fallback_r256_output_vs_r128
B0,pass,True,0.002246181910268014,0.000513099485703312,0.000730426135210905,0.00020583420764546103,,,,,4.440892098500626e-16,2.620888958800205,,
Y1,pass,True,0.0021646740511703307,0.0004691139338301674,,,,,,,4.440892098500626e-16,2.620888958800205,,
Y2,pass,True,0.0029552306775352884,0.00036539874307876054,,,,,,,4.440892098500626e-16,2.620888958800205,,
Y3,pass,True,0.0016507467467034938,0.00035503223315785796,,,,,,,4.440892098500626e-16,2.620888958800205,,
Y4,pass,True,0.0037737133511846458,0.0013500504001168066,,,,,,,8.881784197001252e-16,2.620888958800205,,
X1,unresolved_fallback,False,0.01068153475685027,0.000970364385290297,,,,,,,4.440892098500626e-16,1.0580198729700676,0.0044134721637731945,0.0005440494414105633
X2,unresolved_fallback,False,0.027561719800947758,0.0016636174104148168,,,,,,,2.220446049250313e-16,0.4083845639542664,0.004980510071725982,0.0008183545412023477
M2,pass,True,0.0014044379674813402,0.00043924672993579525,,,,,,,4.440892098500626e-16,2.6208889588041764,,
M4,unresolved_fallback,False,0.02324803707106883,0.01055291314973846,,,,,,,4.440892098500626e-16,0.04109162088877172,0.012820020487293735,0.002530020163496483
M5,unresolved_fallback,False,0.04428618424398929,0.007147166369424413,,,,,,,8.881784197001252e-16,0.024463565177870673,0.012346047859826969,0.0018689054994787532
A1,pass,True,0.0019146796656124793,0.0004968977892500093,,,,,,,4.440892098500626e-16,2.652516177143095,,
A2,pass,True,0.003681797838930649,0.0006305027618101515,,,,,,,2.220446049250313e-16,2.4902961001607826,,
I1,unresolved_fallback,False,0.02080635788151026,0.0018588189549443126,0.010144335260430858,0.0036244187103630205,1.8122967632102565e-06,6.560515258453014e-07,0.006034954594229209,0.0025761596935992494,1.3322676295501878e-15,0.4083845639542664,0.0031226867099871367,0.0008313764177885617
I2,unresolved_fallback,False,0.0383678887534906,0.00750214230704367,0.029781717151620524,0.008477351182624751,4.765403461091242e-07,5.10888145133964e-07,0.006151586895357909,0.0023114080008622053,4.440892098500626e-16,0.023067376971181143,0.011899543241205986,0.0019391076675876202
