depth_mode,L,mean_terminal_displacement,std_terminal_displacement
iid,8,0.11831405449502973,0.007498769312218419
iid,16,0.0813867365993091,0.007341715669283167
iid,32,0.05621891939525293,0.0032531636640920005
iid,64,0.03958788746217371,0.0037214733779248493
iid,128,0.02812276288508725,0.003613586468906305
smooth,8,0.28792010472771046,0.02523611114381583
smooth,16,0.28966109123971573,0.025064729121006317
smooth,32,0.29058728490590663,0.024969565482902866
smooth,64,0.29107001186649756,0.024917117928376153
smooth,128,0.29131633983835775,0.024889517315785405
