tag,depth_index,depth,sample_r,sample_q,forward_h_gram,adjoint_q_gram,backprop_beta_gram
iid_generic,0,0.0,0,0,0.28892206993194364,2.666581139666719,1.847252898430699
iid_generic,0,0.0,0,1,0.021432684641735218,3.0109143631167328,2.0992501850723277
iid_generic,0,0.0,0,2,-0.17315040990221808,2.7815735132730928,1.7682257690652918
iid_generic,0,0.0,1,0,0.021432684641735218,3.0109143631167328,2.0992501850723277
iid_generic,0,0.0,1,1,0.1368603254251026,3.418494890470411,2.499085590697813
iid_generic,0,0.0,1,2,-0.04549396294729389,3.1518739209743596,2.0141303374602435
iid_generic,0,0.0,2,0,-0.17315040990221808,2.7815735132730928,1.7682257690652918
iid_generic,0,0.0,2,1,-0.04549396294729389,3.1518739209743596,2.0141303374602435
iid_generic,0,0.0,2,2,0.22548286182254404,2.913656496673132,1.7744207797151093
iid_generic,1,0.025,0,0,0.29089278923558465,2.6169681679830283,1.4474218114289652
iid_generic,1,0.025,0,1,0.022250438737170645,2.9550181765677315,1.9397186164613938
iid_generic,1,0.025,0,2,-0.1768538949417627,2.732448354579276,1.758654368625513
iid_generic,1,0.025,1,0,0.022250438737170645,2.9550181765677315,1.9397186164613938
iid_generic,1,0.025,1,1,0.13845489234734457,3.3552900740974487,2.7999671538450936
iid_generic,1,0.025,1,2,-0.04711454357331399,3.0967385127958678,2.4854661898968153
iid_generic,1,0.025,2,0,-0.1768538949417627,2.732448354579276,1.758654368625513
iid_generic,1,0.025,2,1,-0.04711454357331399,3.0967385127958678,2.4854661898968153
iid_generic,1,0.025,2,2,0.2284865401929332,2.8651362635805264,2.262982313142539
iid_generic,2,0.05,0,0,0.29172242480542476,2.605241089384489,1.3717657588296703
iid_generic,2,0.05,0,1,0.022897450040082017,2.939618515848347,1.7790389874535357
iid_generic,2,0.05,0,2,-0.1791099788688312,2.7221935737369414,1.4732228653774282
iid_generic,2,0.05,1,0,0.022897450040082017,2.939618515848347,1.7790389874535357
iid_generic,2,0.05,1,1,0.13921608166907903,3.335319404044279,2.4391472815758624
iid_generic,2,0.05,1,2,-0.04869676199999087,3.0827755818840816,1.9979497486549336
iid_generic,2,0.05,2,0,-0.1791099788688312,2.7221935737369414,1.4732228653774282
iid_generic,2,0.05,2,1,-0.04869676199999087,3.0827755818840816,1.9979497486549336
iid_generic,2,0.05,2,2,0.23206229969372036,2.8564604581122843,1.695694250476478
iid_generic,3,0.075,0,0,0.29784862725099726,2.5550137011045386,1.4297460662257995
iid_generic,3,0.075,0,1,0.024981895447009354,2.872092827441391,1.7563951281477903
iid_generic,3,0.075,0,2,-0.18380722899467664,2.6637906642184253,1.57936639375219
iid_generic,3,0.075,1,0,0.024981895447009354,2.872092827441391,1.7563951281477903
iid_generic,3,0.075,1,1,0.14059300001138778,3.2453113567371137,2.4099876375087903
iid_generic,3,0.075,1,2,-0.05016673442602138,3.004136208826038,2.1638709211430474
iid_generic,3,0.075,2,0,-0.18380722899467664,2.6637906642184253,1.57936639375219
iid_generic,3,0.075,2,1,-0.05016673442602138,3.004136208826038,2.1638709211430474
iid_generic,3,0.075,2,2,0.2347613791442232,2.7880195255554128,2.0313184667267703
iid_generic,4,0.1,0,0,0.30244652331254857,2.508820952414328,1.368138774368307
iid_generic,4,0.1,0,1,0.027119077681293718,2.8091890209500376,1.7066051359247663
iid_generic,4,0.1,0,2,-0.18797212497163993,2.6075638096609226,1.3527038615972193
iid_generic,4,0.1,1,0,0.027119077681293718,2.8091890209500376,1.7066051359247663
iid_generic,4,0.1,1,1,0.1411180660323284,3.162073465820471,2.51580436040915
iid_generic,4,0.1,1,2,-0.052453091806053925,2.9290645111981704,1.8671803829903295
iid_generic,4,0.1,2,0,-0.18797212497163993,2.6075638096609226,1.3527038615972193
iid_generic,4,0.1,2,1,-0.052453091806053925,2.9290645111981704,1.8671803829903295
iid_generic,4,0.1,2,2,0.2390246629430328,2.720135548767803,1.4544169759570733
iid_generic,5,0.125,0,0,0.3067822746711173,2.47326871766851,0.7813773763603477
iid_generic,5,0.125,0,1,0.028563898306664743,2.7577093474899823,1.240829715024205
iid_generic,5,0.125,0,2,-0.1922586121634486,2.567144714769126,0.9145179296028231
iid_generic,5,0.125,1,0,0.028563898306664743,2.7577093474899823,1.240829715024205
iid_generic,5,0.125,1,1,0.14323828024515037,3.0900208184375884,2.392894195767938
iid_generic,5,0.125,1,2,-0.05485712519241987,2.8707692694092053,1.5969705400066196
iid_generic,5,0.125,2,0,-0.1922586121634486,2.567144714769126,0.9145179296028231
iid_generic,5,0.125,2,1,-0.05485712519241987,2.8707692694092053,1.5969705400066196
iid_generic,5,0.125,2,2,0.24204728132014844,2.673887772501777,1.204535269354411
iid_generic,6,0.15,0,0,0.31358412058639895,2.4427184273379554,1.2459556655704649
iid_generic,6,0.15,0,1,0.031721411880119926,2.7004777610597865,1.628750397326607
iid_generic,6,0.15,0,2,-0.1985766704688986,2.531394356626696,1.2942780340199531
iid_generic,6,0.15,1,0,0.031721411880119926,2.7004777610597865,1.628750397326607
iid_generic,6,0.15,1,1,0.14425341340904876,3.000762357918235,2.404284951269432
iid_generic,6,0.15,1,2,-0.055878794021920246,2.806793168361023,1.854360328952106
iid_generic,6,0.15,2,0,-0.1985766704688986,2.531394356626696,1.2942780340199531
iid_generic,6,0.15,2,1,-0.055878794021920246,2.806793168361023,1.854360328952106
iid_generic,6,0.15,2,2,0.24562219403585625,2.632108159266084,1.5402840215857188
iid_generic,7,0.175,0,0,0.31704676392025316,2.423221994960584,1.0073978660313516
iid_generic,7,0.175,0,1,0.03148202712130209,2.669148677426721,1.3069785296123542
iid_generic,7,0.175,0,2,-0.20220554467812313,2.5067178659690263,1.080402605637693
iid_generic,7,0.175,1,0,0.03148202712130209,2.669148677426721,1.3069785296123542
iid_generic,7,0.175,1,1,0.14326423576010958,2.9544557205954365,1.9728862882798543
iid_generic,7,0.175,1,2,-0.056629783106070246,2.768208899402598,1.5484456755347311
iid_generic,7,0.175,2,0,-0.20220554467812313,2.5067178659690263,1.080402605637693
iid_generic,7,0.175,2,1,-0.056629783106070246,2.768208899402598,1.5484456755347311
iid_generic,7,0.175,2,2,0.2501385663450079,2.600650245669307,1.2698673826526694
iid_generic,8,0.2,0,0,0.3167732116571559,2.410199322947076,1.0425234513968624
iid_generic,8,0.2,0,1,0.03370332654972991,2.652570163544419,1.5303601559398465
iid_generic,8,0.2,0,2,-0.2041608745465977,2.4982596790483265,1.3403346725551897
iid_generic,8,0.2,1,0,0.03370332654972991,2.652570163544419,1.5303601559398465
iid_generic,8,0.2,1,1,0.1421348412990332,2.9328491379171666,2.547065561034268
iid_generic,8,0.2,1,2,-0.057801872054117576,2.756331285783069,2.2077815817176387
iid_generic,8,0.2,2,0,-0.2041608745465977,2.4982596790483265,1.3403346725551897
iid_generic,8,0.2,2,1,-0.057801872054117576,2.756331285783069,2.2077815817176387
iid_generic,8,0.2,2,2,0.25420239011652423,2.5968832959083383,1.9573801595193903
iid_generic,9,0.225,0,0,0.3223482432601734,2.3972927535069206,1.4277827549497184
iid_generic,9,0.225,0,1,0.0331343500320808,2.6266362761481923,1.8870056813603797
iid_generic,9,0.225,0,2,-0.2060392142378363,2.474721955810637,1.3684074757390876
iid_generic,9,0.225,1,0,0.0331343500320808,2.6266362761481923,1.8870056813603797
iid_generic,9,0.225,1,1,0.14122050965770097,2.889888432166823,2.6068785543166606
iid_generic,9,0.225,1,2,-0.05635861088789265,2.7168245266640763,1.8852149778999794
iid_generic,9,0.225,2,0,-0.2060392142378363,2.474721955810637,1.3684074757390876
iid_generic,9,0.225,2,1,-0.05635861088789265,2.7168245266640763,1.8852149778999794
iid_generic,9,0.225,2,2,0.25502544044033526,2.5605381072454274,1.416816641017001
iid_generic,10,0.25,0,0,0.32811128405175927,2.378084944276043,1.7718493722486353
iid_generic,10,0.25,0,1,0.032162181397886964,2.59909172452068,1.9982899294559484
iid_generic,10,0.25,0,2,-0.21041516829205287,2.4554301043162465,1.9455516291647255
iid_generic,10,0.25,1,0,0.032162181397886964,2.59909172452068,1.9982899294559484
iid_generic,10,0.25,1,1,0.14306596802022375,2.8511085230520528,2.3365232332435903
iid_generic,10,0.25,1,2,-0.05698091699377586,2.68850392034996,2.218257943121048
iid_generic,10,0.25,2,0,-0.21041516829205287,2.4554301043162465,1.9455516291647255
iid_generic,10,0.25,2,1,-0.05698091699377586,2.68850392034996,2.218257943121048
iid_generic,10,0.25,2,2,0.25909341542214875,2.5404123488829478,2.1962331676785762
