epsilon,group,horizon,minimum_order,run_id
0.01,central,4.0,1,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.001,central,4.0,2,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.0001,central,4.0,3,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
1e-05,central,4.0,3,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.01,central,8.0,1,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.001,central,8.0,2,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.0001,central,8.0,3,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
1e-05,central,8.0,3,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.01,central,16.0,1,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.001,central,16.0,2,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.0001,central,16.0,3,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
1e-05,central,16.0,3,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.01,central,32.0,1,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.001,central,32.0,2,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.0001,central,32.0,3,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
1e-05,central,32.0,3,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02
0.01,central,4.0,1,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.001,central,4.0,2,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.0001,central,4.0,3,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
1e-05,central,4.0,3,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.01,central,8.0,1,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.001,central,8.0,2,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.0001,central,8.0,3,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
1e-05,central,8.0,3,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.01,central,16.0,1,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.001,central,16.0,2,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.0001,central,16.0,3,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
1e-05,central,16.0,3,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.01,central,32.0,1,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.001,central,32.0,2,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.0001,central,32.0,3,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
1e-05,central,32.0,3,central_n64_L16_s2_sw0p65_A1_g1_r0_dt0p02
0.01,central,4.0,1,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.001,central,4.0,2,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.0001,central,4.0,2,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
1e-05,central,4.0,3,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.01,central,8.0,1,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.001,central,8.0,2,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.0001,central,8.0,2,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
1e-05,central,8.0,3,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.01,central,16.0,1,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.001,central,16.0,2,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.0001,central,16.0,2,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
1e-05,central,16.0,3,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.01,central,32.0,1,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.001,central,32.0,2,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.0001,central,32.0,2,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
1e-05,central,32.0,3,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02
0.01,central,4.0,1,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
0.001,central,4.0,2,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
0.0001,central,4.0,3,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
1e-05,central,4.0,3,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
0.01,central,8.0,1,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
0.001,central,8.0,2,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
0.0001,central,8.0,3,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
1e-05,central,8.0,3,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
0.01,central,16.0,1,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
0.001,central,16.0,2,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
0.0001,central,16.0,3,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
1e-05,central,16.0,3,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
0.01,central,32.0,1,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
0.001,central,32.0,2,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
0.0001,central,32.0,3,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02
