statistic,observed,replicates,finite_replicates,confidence,method,available,lcb,ucb,central_low,central_high,bootstrap_mean,bootstrap_sd
matched_C0_gram,0.018542239518224063,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.0060773230897905595,0.022140684439420695,-0.009966223795920978,0.023218673209798913,0.02701347062505188,0.008679088377366199
matched_C0_output,0.026807859360589943,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.014335394311634983,0.035998019195035084,-0.021045012749487932,0.03908947350939483,0.03973403913358541,0.015710239869627295
matched_C0_loss,0.045539189123477715,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.029885090117726408,0.08138451818066199,-0.04435408562793982,0.08416672438662964,0.05453486487889703,0.03536192891508425
matched_C1_gram,0.011955813398056837,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.005904558839644188,0.011897471305599407,-0.008593938858086916,0.012752970830134928,0.019538025210248083,0.005549234097871217
matched_C1_output,0.02805764740091827,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.012435607577528637,0.039147731186865715,-0.019072617325643512,0.042067866558678245,0.04011678966820567,0.016026569140130148
matched_C1_loss,0.04767927411218005,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.026988532444792004,0.08644431758063134,-0.04102178746133228,0.08882852727327406,0.05497124266457896,0.036019664449691846
matched_C2_gram,0.010949194306115,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.004118364245847168,0.01089526168668982,-0.006254582948634169,0.01164095699489237,0.01748238782776049,0.004637134924405459
matched_C2_output,0.029171997737262315,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.011012799048008889,0.04176262273729188,-0.017749687408806666,0.04487778225290928,0.04062348410266876,0.016347483651688026
matched_C2_loss,0.049884321883767714,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.023929018333431855,0.09153879244653156,-0.03823080138444875,0.09374958829901808,0.05589715022104529,0.03664334724986385
matched_C4_gram,0.011803705834455962,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.0011349893192681877,0.013424222024531668,-0.003176940589721719,0.014249494202112753,0.01647574968199231,0.004517721967573587
matched_C4_output,0.030120424711309362,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.010019867630334401,0.04356351174555847,-0.016606008915220172,0.046835699424237626,0.04118690559307852,0.016608231349262956
matched_C4_loss,0.05190796082141655,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.021204135196944057,0.09618989766177306,-0.03576682857296301,0.09835473130144676,0.057004005582562786,0.037218529242486774
matched_L2_gram,0.009902730048879683,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.004719528408417526,0.00965464956007161,-0.007006223884907431,0.010487199825112875,0.016310171946591786,0.004579395143848696
matched_L2_output,0.0290988686282293,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.011685380700053486,0.04127912789028025,-0.018118342011001324,0.04459285796430451,0.040782887072939235,0.016376985752771196
matched_L2_loss,0.05015527610893558,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.02413458167306924,0.09193523336522101,-0.03897196154643115,0.0943841901155048,0.05630637147177896,0.03692842485817966
dense_separation_C1_C0_gram,0.22440071205430925,4000,4000,0.95,one-sided centered/basic bootstrap,True,0.2165019708185009,0.23529297408972835,0.21519446028006717,0.23764974955461954,0.22348595282790631,0.005668707485472349
dense_separation_C1_C0_output,0.07537017281403212,4000,4000,0.95,one-sided centered/basic bootstrap,True,0.07236054114681414,0.07930196571784319,0.07200812191629849,0.07999890947491135,0.07524066618256127,0.002145812613648981
dense_separation_C1_C0_loss,0.05815091270184018,4000,4000,0.95,one-sided centered/basic bootstrap,True,0.05517467026504009,0.062326291472303195,0.05473851671050059,0.06320241669883504,0.05790934984263826,0.0022261014867181695
dense_separation_C2_C0_gram,0.36384990211428603,4000,4000,0.95,one-sided centered/basic bootstrap,True,0.35271130118926003,0.3801089142375025,0.3504430772841986,0.38361748677145935,0.36242379555737736,0.008331812368805707
dense_separation_C2_C0_output,0.12707337136489757,4000,4000,0.95,one-sided centered/basic bootstrap,True,0.122405949092174,0.13331611145165473,0.12192418639702787,0.13443710996798855,0.12690128776280155,0.0033928223160775046
dense_separation_C2_C0_loss,0.09890924357772858,4000,4000,0.95,one-sided centered/basic bootstrap,True,0.0938149074682686,0.10595211720603001,0.09295633775762494,0.10755686763714091,0.09864807855284113,0.003781866169599004
