source,case_id,time,depth_index,depth_fraction,gram_increment_fro,gram_increment_normalized
PDE,C0,0.0,0,0.0,0.0,0.0
PDE,C0,0.0,1,0.0625,0.0,0.0
PDE,C0,0.0,2,0.125,0.0,0.0
PDE,C0,0.0,3,0.1875,0.0,0.0
PDE,C0,0.0,4,0.25,0.0,0.0
PDE,C0,0.0,5,0.3125,0.0,0.0
PDE,C0,0.0,6,0.375,0.0,0.0
PDE,C0,0.0,7,0.4375,0.0,0.0
PDE,C0,0.0,8,0.5,0.0,0.0
PDE,C0,0.0,9,0.5625,0.0,0.0
PDE,C0,0.0,10,0.625,0.0,0.0
PDE,C0,0.0,11,0.6875,0.0,0.0
PDE,C0,0.0,12,0.75,0.0,0.0
PDE,C0,0.0,13,0.8125,0.0,0.0
PDE,C0,0.0,14,0.875,0.0,0.0
PDE,C0,0.0,15,0.9375,0.0,0.0
PDE,C0,0.0,16,1.0,0.0,0.0
PDE,C0,0.04,0,0.0,0.004547747336934765,0.00595349226537476
PDE,C0,0.04,1,0.0625,0.004927986129032522,0.006451265897028454
PDE,C0,0.04,2,0.125,0.005314279464543498,0.0069569655796938735
PDE,C0,0.04,3,0.1875,0.005706631315316204,0.00747059651294954
PDE,C0,0.04,4,0.25,0.006105045690127351,0.00799216394471698
PDE,C0,0.04,5,0.3125,0.006509526634712077,0.008521673171300292
PDE,C0,0.04,6,0.375,0.006920078231803163,0.00905912953743748
PDE,C0,0.04,7,0.4375,0.007336704601164077,0.00960453843634372
PDE,C0,0.04,8,0.5,0.007759409899622918,0.010157905309755785
PDE,C0,0.04,9,0.5625,0.008188198321106102,0.010719235647976158
PDE,C0,0.04,10,0.625,0.008623074096676927,0.011288534989923504
PDE,C0,0.04,11,0.6875,0.009064041494569847,0.011865808923177547
PDE,C0,0.04,12,0.75,0.009511104820224936,0.012451063084024185
PDE,C0,0.04,13,0.8125,0.009964268416324827,0.013044303157503847
PDE,C0,0.04,14,0.875,0.010423536662832328,0.013645534877460732
PDE,C0,0.04,15,0.9375,0.010888913977025197,0.014254764026588342
PDE,C0,0.04,16,1.0,0.011360404813534307,0.01487199643647944
PDE,C0,0.08,0,0.0,0.016253848943177513,0.02127804312695156
PDE,C0,0.08,1,0.0625,0.017624428332398058,0.023072279523185992
PDE,C0,0.08,2,0.125,0.019017881325257734,0.02489645993615171
PDE,C0,0.08,3,0.1875,0.02043426012919842,0.026750652711026744
PDE,C0,0.08,4,0.25,0.021873617488095763,0.02863492689523886
PDE,C0,0.08,5,0.3125,0.023336006683910282,0.030549352240627006
PDE,C0,0.08,6,0.375,0.02482148153834638,0.03249399920561315
PDE,C0,0.08,7,0.4375,0.026330096414525914,0.03446893895739316
PDE,C0,0.08,8,0.5,0.027861906218680753,0.03647424337415255
PDE,C0,0.08,9,0.5625,0.029416966401848692,0.03850998504728662
PDE,C0,0.08,10,0.625,0.030995332961591182,0.040576237283649126
PDE,C0,0.08,11,0.6875,0.032597062443718836,0.042673074107811175
PDE,C0,0.08,12,0.75,0.0342222119440333,0.04480057026434152
