source,case_id,time,loss,output_increment_l2,max_depth_gram_increment_fro
PDE,C0,0.0,0.5325000000000001,0.0,0.0
PDE,C0,0.04,0.4184433291747256,0.11717327685830448,0.011360404813534307
PDE,C0,0.08,0.32697227702655474,0.22331998878682593,0.04095817139153895
PDE,C0,0.12,0.2530014151758767,0.32064961281939075,0.08355833781653414
PDE,C0,0.16,0.19327047315005128,0.41026419982564305,0.13512119862930372
PDE,C0,0.2,0.14546038469103395,0.49261765593136997,0.19227619415126807
PDE,C0,0.24,0.10772707196479835,0.5678179895927921,0.25211354740241715
PDE,C0,0.28,0.07846700445547057,0.6358393988987925,0.3121380203838289
PDE,C0,0.32,0.056219558195118265,0.6966689476121722,0.37029324670348296
PDE,C0,0.36,0.03964680593125956,0.7503971579200445,0.4249973499556436
PDE,C0,0.4,0.02754884843380642,0.7972593860295925,0.4751546259589334
PDE,C0,0.44,0.018886120995237135,0.837637550083088,0.5201293463904981
PDE,C0,0.48,0.01279259163175692,0.8720346810306708,0.5596845583808936
PDE,C0,0.52,0.008574342238630208,0.9010353862759083,0.5938986499998006
PDE,C0,0.56,0.005695113621319121,0.9252633644489803,0.6230751333476205
PDE,C0,0.6,0.0037536563901954933,0.9453436215783906,0.647658546989707
PDE,C0,0.64,0.0024580588517167,0.9618733400911789,0.6681644637775231
PDE,C0,0.68,0.001600987415517372,0.9754023770196089,0.6851266835647961
PDE,C0,0.72,0.001038125636470951,0.9864224716968738,0.6990610732815199
PDE,C0,0.76,0.000670696367038706,0.9953633432346602,0.7104434824043407
PDE,C0,0.8,0.00043202429781654647,1.002593668497234,0.7196984295194347
PDE,C0,0.84,0.000277612817478975,1.0084251457000792,0.7271953590679923
PDE,C0,0.88,0.00017804112434401144,1.013118230303404,0.7332497853162743
PDE,C0,0.92,0.00011400259759707358,1.0168885311278846,0.738127281861909
PDE,C0,0.96,7.290486511734748e-05,1.019913202039697,0.7420488765832479
PDE,C0,1.0,4.6575135952417496e-05,1.0223369331759842,0.745196904148063
PDE,C0,1.04,2.973003011951035e-05,1.024277337062024,0.7477207369592492
PDE,C0,1.08,1.8964915672963323e-05,1.0258296520837336,0.7497420739133605
PDE,C0,1.12,1.2091432572704578e-05,1.0270707643626629,0.7513596374022659
PDE,C0,1.16,7.705868610654496e-06,1.0280625934778116,0.7526532358058456
PDE,C0,1.2,4.9092948166912725e-06,1.0288549091454333,0.7536872109681261
PDE,C0,1.24,3.1267969613353287e-06,1.0294876533462811,0.7545133229209672
PDE,C0,1.28,1.9910713444899985e-06,1.0299928413489783,0.7551731382901951
