category,predictor_case,target_case,metric,raw,denominator,normalized,max_time,max_depth_index,max_depth_fraction,matched,case_id,inference_role,quantity,lcb,ucb,comparison_case,pass
cross_prediction,C0,C0,gram,0.014164026193540699,0.7638789359623858,0.018542239518224063,0.32,16,1.0,True,,,,,,,
cross_prediction,C0,C0,output,0.02766539913907778,1.0319883720275145,0.026807859360589943,1.48,,,True,,,,,,,
cross_prediction,C0,C0,loss,0.02424961820825189,0.5325000000000001,0.045539189123477715,0.0,,,True,,,,,,,
cross_prediction,C0,C1,gram,0.16329281188045416,0.7638789359623858,0.21376792079588758,0.64,16,1.0,False,,,,,,,
cross_prediction,C0,C1,output,0.09189523139360826,1.0319883720275145,0.08904677018120336,0.44,,,False,,,,,,,
cross_prediction,C0,C1,loss,0.025389213464735882,0.5325000000000001,0.04767927411218005,0.0,,,False,,,,,,,
cross_prediction,C0,C2,gram,0.2701903142335388,0.7638789359623858,0.3537082926539072,0.68,16,1.0,False,,,,,,,
cross_prediction,C0,C2,output,0.1452428467641045,1.0319883720275145,0.14074077838566199,0.44,,,False,,,,,,,
cross_prediction,C0,C2,loss,0.04353622991941479,0.5325000000000001,0.08175817825242213,0.24,,,False,,,,,,,
cross_prediction,C0,C4,gram,0.34244657356704966,0.7638789359623858,0.44829953732866396,0.68,16,1.0,False,,,,,,,
cross_prediction,C0,C4,output,0.18537799645234038,1.0319883720275145,0.17963186551039734,0.44,,,False,,,,,,,
cross_prediction,C0,C4,loss,0.06047000529857256,0.5325000000000001,0.11355869539638039,0.24,,,False,,,,,,,
cross_prediction,C0,L2,gram,0.27697367150891083,0.7638789359623858,0.3625884396981845,0.64,16,1.0,False,,,,,,,
cross_prediction,C0,L2,output,0.15736080091658308,1.0319883720275145,0.1524831143275591,0.44,,,False,,,,,,,
cross_prediction,C0,L2,loss,0.0516714123282825,0.5325000000000001,0.09703551610945069,0.24,,,False,,,,,,,
cross_prediction,C1,C0,gram,0.1751445947575548,0.7638789359623858,0.22928318416961707,0.6,16,1.0,False,,,,,,,
cross_prediction,C1,C0,output,0.06773922219614736,1.0319883720275145,0.06563952078555138,0.36,,,False,,,,,,,
cross_prediction,C1,C0,loss,0.04444215321517378,0.5325000000000001,0.08345944265760333,0.16,,,False,,,,,,,
cross_prediction,C1,C1,gram,0.009132794017072492,0.7638789359623858,0.011955813398056837,0.28,16,1.0,True,,,,,,,
cross_prediction,C1,C1,output,0.028955165864195668,1.0319883720275145,0.02805764740091827,2.0,,,True,,,,,,,
cross_prediction,C1,C1,loss,0.025389213464735882,0.5325000000000001,0.04767927411218005,0.0,,,True,,,,,,,
cross_prediction,C1,C2,gram,0.1072518169764575,0.7638789359623858,0.140404207953888,0.8,16,1.0,False,,,,,,,
cross_prediction,C1,C2,output,0.0698565112219852,1.0319883720275145,0.0676911805553975,0.52,,,False,,,,,,,
cross_prediction,C1,C2,loss,0.026563401403106313,0.5325000000000001,0.049884321883767714,0.0,,,False,,,,,,,
cross_prediction,C1,C4,gram,0.18168263983622157,0.7638789359623858,0.23784219106307158,0.8,16,1.0,False,,,,,,,
cross_prediction,C1,C4,output,0.10968504484739548,1.0319883720275145,0.10628515574444002,0.52,,,False,,,,,,,
cross_prediction,C1,C4,loss,0.03008109869592887,0.5325000000000001,0.056490326189537775,0.28,,,False,,,,,,,
