comparison_type,left,right,left_n,right_n,left_L,right_L,left_S,right_S,overlap_start,overlap_end,time_points_compared,output_max_l2,output_rms_l2,output_terminal_l2,output_max_abs_component,output_initial_l2,output_time_of_max_l2,output_initial_centered_max_l2,output_initial_centered_rms_l2,output_initial_centered_terminal_l2,loss_max_abs,loss_terminal_abs,depth_interpolated,depth_points_compared,gram_max_fro,gram_rms_fro,gram_terminal_max_fro,gram_max_abs_entry,gram_initial_max_fro,gram_time_of_max_fro,gram_depth_fraction_of_max_fro,gram_initial_centered_max_fro,gram_initial_centered_rms_fro,gram_initial_centered_terminal_max_fro,theta_max_fro,theta_rms_fro,theta_terminal_fro,theta_max_abs_entry,theta_initial_fro,theta_initial_centered_max_fro,theta_initial_centered_terminal_fro,output_active_points,output_active_max_abs_z,output_active_rms_z,output_active_fraction_within_1p96_sem,gram_unique_points,gram_max_abs_z,gram_rms_z,gram_fraction_within_1p96_sem
independent_ensemble_replication,exact_ensemble_n128_L32_S32_seed3000_dt0p02_T8p0.npz,exact_ensemble_n128_L32_S64_seed5000_dt0p02_T8p0.npz,128,128,32,32,32,64,0.0,8.0,201,0.056987800826606226,0.008991874272799162,4.2604805908348125e-12,0.05115602604029215,0.056987800826606226,0.0,0.05698780082570533,0.0551916163784899,0.05698780082570533,0.05537732572087284,2.762423533859238e-23,False,33,0.052083851553000104,0.04252812149498616,0.0459692906759223,0.027471610819208868,0.044524489427853864,0.32,0.21875,0.016342771779970417,0.0071041852157258814,0.007573362341008473,0.12893621579011028,0.1264836705580685,0.12871892623970332,0.08823435188327755,0.12893621579011028,0.0573530425611913,0.02441394854534393,183,2.6129342147080616,0.9503751876006149,0.9617486338797814,39798,1.407743790100531,0.6737926606531981,1.0
independent_ensemble_replication,exact_ensemble_n256_L32_S32_seed6000_dt0p02_T8p0.npz,exact_ensemble_n256_L32_S32_seed8000_dt0p02_T8p0.npz,256,256,32,32,32,32,0.0,8.0,201,0.018518152805258203,0.003238927606825079,1.084234553477235e-12,0.01583157141299505,0.018518152805258203,0.0,0.018518152805043448,0.01785206095166621,0.018518152805043448,0.0035609451179191565,1.2444036248388282e-24,False,33,0.022751141945578566,0.018727555591500588,0.020292131975001317,0.01491439046929148,0.021543074410965216,0.28,0.40625,0.004557884367800672,0.0030085194881320026,0.004230086683883703,0.04673353162259711,0.039986368012144675,0.03933850443384335,0.023363506069038323,0.038407577382899905,0.01742393314519318,0.01742393314519318,183,0.9360653764692989,0.634966522594175,1.0,39798,1.006926676432108,0.3693264206247859,1.0
independent_ensemble_replication,exact_ensemble_n256_L32_S32_seed6000_dt0p02_T8p0.npz,exact_ensemble_n256_L32_S64_seed10000_dt0p02_T8p0.npz,256,256,32,32,32,64,0.0,8.0,201,0.011624462324620303,0.002061078150830604,7.306769628673714e-13,0.009382169080992642,0.011624462324620303,0.0,0.01162446232436208,0.01118941653972468,0.01162446232436208,0.004870225495206548,6.060909223298969e-25,False,33,0.027575901356984164,0.025066806450715944,0.026017771300195367,0.02119598174947912,0.027575901356984164,0.0,0.84375,0.0039291414367666625,0.0022024479485458024,0.002858768827199785,0.039250819814771305,0.03627416398748506,0.03609535911382528,0.02693316972346338,0.039250819814771305,0.013217547457371413,0.012325571565738883,186,0.8965453756477666,0.5218376502177906,1.0,39798,1.1603393100041404,0.5463805247746101,1.0
independent_ensemble_replication,exact_ensemble_n256_L32_S32_seed8000_dt0p02_T8p0.npz,exact_ensemble_n256_L32_S64_seed10000_dt0p02_T8p0.npz,256,256,32,32,32,64,0.0,8.0,201,0.026057790081861473,0.004028108643904721,1.4179123853696217e-12,0.025213740493987693,0.026057790081861473,0.0,0.02605779008070972,0.02521879122661593,0.02605779008070972,0.008431170613125705,1.850494547168725e-24,False,33,0.02758814445601707,0.02551610338131169,0.027108339125660567,0.01825636769957628,0.02758814445601707,0.0,0.1875,0.005445610428152398,0.002907591892782425,0.0037172141534041175,0.05415893582557216,0.047639321650983585,0.0470413047956186,0.03812096090228545,0.05415893582557216,0.020955075913175716,0.020955075308685372,186,1.8406933141375998,0.9602647702936755,1.0,39798,0.9690630301146432,0.5409285664180968,1.0
independent_ensemble_replication,exact_ensemble_n256_L64_S16_seed7000_dt0p02_T8p0.npz,exact_ensemble_n256_L64_S48_seed12000_dt0p02_T8p0.npz,256,256,64,64,16,48,0.0,8.0,201,0.017672596538676894,0.003076536595078984,2.7834791720637727e-12,0.013144175405243244,0.017672596538676894,0.0,0.017782717359594847,0.017304499935972325,0.01767259653873273,0.017597095463753876,6.1377531516934235e-24,False,65,0.11065450893233701,0.10779523168607026,0.10914790737660458,0.05757813028634137,0.11065450893233701,0.0,0.140625,0.006644229950117892,0.004655106222078577,0.006644229950117892,0.1843749215150226,0.18339579312032825,0.1839734235501479,0.09751985330409367,0.16919799602841573,0.01774224450040761,0.01774224450040761,180,1.549361152269648,0.9247655899146491,1.0,78390,2.856120302064664,1.6594197986700387,0.6666666666666666
width_at_fixed_L32,exact_ensemble_n64_L32_S64_seed4000_dt0p02_T8p0.npz,exact_ensemble_n96_L32_S48_seed2000_dt0p02_T8p0.npz,64,96,32,32,64,48,0.0,8.0,201,0.05315295491832457,0.009725845932534711,2.377761519405084e-11,0.03800348699687764,0.05315295491832457,0.0,0.05315295493062511,0.050922680810269544,0.053152954925540195,0.015372872754495726,4.175361165639829e-22,False,33,0.09902870774397547,0.09139423030253853,0.09405532918843687,0.06972619233685129,0.08876197924156333,0.4,0.125,0.021449188862167495,0.011134520192825192,0.012265834881330399,0.13809664864549823,0.09957566774874882,0.09565246261490004,0.10288090113191828,0.05656577091963603,0.08641292067267699,0.043335022768314795,189,2.5492144670602617,1.4387960601346703,0.7301587301587301,39798,2.347046713452957,1.3245599778444792,0.7327252625760089
width_at_fixed_L32,exact_ensemble_n96_L32_S48_seed2000_dt0p02_T8p0.npz,pooled_exact_m3_n128_L32_S96,96,128,32,32,48,96,0.0,8.0,201,0.008634354092520941,0.00239130420204264,1.3509527147259525e-11,0.00842421015746192,0.007172981330442492,0.28,0.007201507805380565,0.006934441309422677,0.007172981340854006,0.004697632031036958,1.660670523686731e-23,False,33,0.06438885739557132,0.05818500379278864,0.06438885739557132,0.04179721187433823,0.058222965542036355,8.0,1.0,0.01321167477338067,0.007763627792919899,0.01321167477338067,0.15522879104952142,0.14363708646607412,0.14246186925213628,0.08431743834672867,0.1389411177035651,0.01774635546711414,0.015442153731102092,183,1.9049334100863242,0.8047117327779727,1.0,39798,2.2434661671445624,0.9194296032329307,0.8523543896678225
width_at_fixed_L32,pooled_exact_m3_n128_L32_S96,pooled_exact_m3_n256_L32_S128,128,256,32,32,96,128,0.0,8.0,201,0.014471929807985843,0.0034806925656480766,4.353283864759106e-12,0.012023992134582662,0.014471929807985843,0.0,0.014471981043288838,0.013902849309709333,0.014471929811419641,0.0030862439608652648,1.5975415937101628e-23,False,33,0.048630395712814876,0.041312057591311326,0.04278825736597537,0.03033272824945943,0.04596099094699329,0.28,0.9375,0.012435670690396663,0.008782177270920998,0.01243309970975706,0.1628113023516633,0.13296104618653778,0.13106525887051237,0.1173080661160042,0.1628113023516633,0.03741055532038267,0.03732755290902316,183,1.8218167900555502,1.0684793241498791,1.0,39798,2.0016867360911013,1.1712163319826263,0.9991456857128499
width_at_fixed_L32,pooled_exact_m3_n256_L32_S128,exact_ensemble_n512_L32_S16_seed14000_dt0p02_T8p0.npz,256,512,32,32,128,16,0.0,8.0,201,0.029930638892789654,0.005102965713704377,1.0500288520027758e-12,0.026993252720432466,0.029930638892789654,0.0,0.029930789417342566,0.028956353892532257,0.029930638893235818,0.01802618863288452,1.0321929400454851e-24,False,33,0.04400575754336176,0.04068446773813747,0.04227287396245759,0.022829203909779407,0.04400575754336176,0.0,0.59375,0.009350424143982627,0.004384900096793357,0.005440962555501151,0.10650136795093072,0.08654991616896676,0.08465630734213268,0.05851366462222263,0.08180388792252279,0.039621238596981516,0.013511812085845658,183,2.466639049930385,1.1932883991115357,0.907103825136612,39798,1.6439876387766634,0.8905594643093843,1.0
width_endpoint_at_fixed_L32,exact_ensemble_n64_L32_S64_seed4000_dt0p02_T8p0.npz,exact_ensemble_n512_L32_S16_seed14000_dt0p02_T8p0.npz,64,512,32,32,64,16,0.0,8.0,201,0.047267575809465376,0.010095820638595513,2.990652963184643e-11,0.04618589513880464,0.047267575809465376,0.0,0.0472675758060946,0.044837051913224096,0.0472675758060946,0.04053002221794433,4.511504306779973e-22,False,33,0.09035781628781402,0.08257687316904593,0.08401438322833855,0.06649223420944006,0.07200643783333206,0.44,0.90625,0.029983379029822555,0.016958205635344774,0.018249911920032075,0.20876492011117592,0.14027855064422853,0.13297310301678952,0.14311439045852747,0.07111763211670903,0.15438897034575946,0.06887346027304549,183,3.2293547293675653,1.9004451686468855,0.6666666666666666,39798,2.509673064495696,1.3225591700514556,0.8333333333333334
