path,filename,bytes,sha256,load_status,note,keys,time_points,time_start,time_end,f_shape,grams_shape,theta_shape,P,N_or_L,M,R,quadrature_seed,network_width_n,ensemble_seeds_S,dt,sample_dt,quadrature,raw_basis_gram_error,whitened_basis_gram_error,fast_mean_error,fast_cov_error,actual_width_independent_pde_run,contains_dense_network_weight_matrix
dense_mup_pde_repro/results/raw/exact_ensemble_n128_L32_S32_seed3000_dt0p02_T8p0.npz,exact_ensemble_n128_L32_S32_seed3000_dt0p02_T8p0.npz,9303302,976e7d491e23a666b5e87954fd345c55bfa272878239ce9a7e351382478038df,valid,,f;f_mean;f_sem;grams;grams_mean;grams_sem;metadata_json;seeds;theta;theta_mean;theta_sem;times,201,0.0,8.0,32x201x3,32x201x33x3x3,32x201x3x3,,32,,,,128,32,0.02,0.04,,,,,,,
dense_mup_pde_repro/results/raw/exact_ensemble_n128_L32_S64_seed5000_dt0p02_T8p0.npz,exact_ensemble_n128_L32_S64_seed5000_dt0p02_T8p0.npz,18066729,14c50fce0bbd41fcaf9751ff373d80debbb65f5545fe384d0ed77760268629ef,valid,,f;f_mean;f_sem;grams;grams_mean;grams_sem;metadata_json;seeds;theta;theta_mean;theta_sem;times,201,0.0,8.0,64x201x3,64x201x33x3x3,64x201x3x3,,32,,,,128,64,0.02,0.04,,,,,,,
dense_mup_pde_repro/results/raw/exact_ensemble_n256_L32_S32_seed6000_dt0p02_T8p0.npz,exact_ensemble_n256_L32_S32_seed6000_dt0p02_T8p0.npz,9291347,6aa24f7c38e1d4bdd1e60c3c204ff925dc3a5ab461667e1323a2e9f88714f20a,valid,,f;f_mean;f_sem;grams;grams_mean;grams_sem;metadata_json;seeds;theta;theta_mean;theta_sem;times,201,0.0,8.0,32x201x3,32x201x33x3x3,32x201x3x3,,32,,,,256,32,0.02,0.04,,,,,,,
dense_mup_pde_repro/results/raw/exact_ensemble_n256_L32_S32_seed8000_dt0p02_T8p0.npz,exact_ensemble_n256_L32_S32_seed8000_dt0p02_T8p0.npz,9229905,2b3c7320a6d11d9dcf6bca5acb191edb460f6b2ea128c168bfe62e92bab584f5,valid,,f;f_mean;f_sem;grams;grams_mean;grams_sem;metadata_json;seeds;theta;theta_mean;theta_sem;times,201,0.0,8.0,32x201x3,32x201x33x3x3,32x201x3x3,,32,,,,256,32,0.02,0.04,,,,,,,
dense_mup_pde_repro/results/raw/exact_ensemble_n256_L32_S64_seed10000_dt0p02_T8p0.npz,exact_ensemble_n256_L32_S64_seed10000_dt0p02_T8p0.npz,18014169,32b102d70013c137a5ae6d4a1076eb0f83fe85ae2ccece866324c6b34a248b99,valid,,f;f_mean;f_sem;grams;grams_mean;grams_sem;metadata_json;seeds;theta;theta_mean;theta_sem;times,201,0.0,8.0,64x201x3,64x201x33x3x3,64x201x3x3,,32,,,,256,64,0.02,0.04,,,,,,,
dense_mup_pde_repro/results/raw/exact_ensemble_n256_L64_S16_seed7000_dt0p02_T8p0.npz,exact_ensemble_n256_L64_S16_seed7000_dt0p02_T8p0.npz,9728435,c3fee01a437200e2389f35cdef2a9745867f3cf44ae6fc0299efd2630c324eaa,valid,,f;f_mean;f_sem;grams;grams_mean;grams_sem;metadata_json;seeds;theta;theta_mean;theta_sem;times,201,0.0,8.0,16x201x3,16x201x65x3x3,16x201x3x3,,64,,,,256,16,0.02,0.04,,,,,,,
dense_mup_pde_repro/results/raw/exact_ensemble_n256_L64_S48_seed12000_dt0p02_T8p0.npz,exact_ensemble_n256_L64_S48_seed12000_dt0p02_T8p0.npz,26856237,b8ee6f4637a3dee51a43e24e631de554f0726f2fbc63efbe1606f1063cce67f0,valid,,f;f_mean;f_sem;grams;grams_mean;grams_sem;metadata_json;seeds;theta;theta_mean;theta_sem;times,201,0.0,8.0,48x201x3,48x201x65x3x3,48x201x3x3,,64,,,,256,48,0.02,0.04,,,,,,,
dense_mup_pde_repro/results/raw/exact_ensemble_n512_L32_S16_seed14000_dt0p02_T8p0.npz,exact_ensemble_n512_L32_S16_seed14000_dt0p02_T8p0.npz,4863475,004a2a686565bfd29e7d552f427c2d27fb4e504f869de9bc50b7985812de54f0,valid,,f;f_mean;f_sem;grams;grams_mean;grams_sem;metadata_json;seeds;theta;theta_mean;theta_sem;times,201,0.0,8.0,16x201x3,16x201x33x3x3,16x201x3x3,,32,,,,512,16,0.02,0.04,,,,,,,
dense_mup_pde_repro/results/raw/exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,9794044,6bf214af14cc064c1ad2e08525f575974dcef4af93c29c02ce150314400b2347,valid,,f;f_mean;f_sem;grams;grams_mean;grams_sem;metadata_json;seeds;theta;theta_mean;theta_sem;times,201,0.0,8.0,64x201x3,64x201x17x3x3,64x201x3x3,,16,,,,64,64,0.02,0.04,,,,,,,
dense_mup_pde_repro/results/raw/exact_ensemble_n64_L32_S64_seed4000_dt0p02_T8p0.npz,exact_ensemble_n64_L32_S64_seed4000_dt0p02_T8p0.npz,18473861,53019e348d391eddaaf0e36be50ec93d9c9c0151e5efe03211c1bcf3e29af9cc,valid,,f;f_mean;f_sem;grams;grams_mean;grams_sem;metadata_json;seeds;theta;theta_mean;theta_sem;times,201,0.0,8.0,64x201x3,64x201x33x3x3,64x201x3x3,,32,,,,64,64,0.02,0.04,,,,,,,
dense_mup_pde_repro/results/raw/exact_ensemble_n96_L32_S48_seed2000_dt0p02_T8p0.npz,exact_ensemble_n96_L32_S48_seed2000_dt0p02_T8p0.npz,13857956,1a75853cc23258bf5eca2e5aeb528bfdee178965c699179767bd4a22bd6ce2b7,valid,,f;f_mean;f_sem;grams;grams_mean;grams_sem;metadata_json;seeds;theta;theta_mean;theta_sem;times,201,0.0,8.0,48x201x3,48x201x33x3x3,48x201x3x3,,32,,,,96,48,0.02,0.04,,,,,,,
dense_mup_pde_repro/results/raw/pde_GH_P5_N16_M81_R243_s20260723_dt0p02_T8.npz,pde_GH_P5_N16_M81_R243_s20260723_dt0p02_T8.npz,4929214,749ecafc43ee7a39900b1761be6a8de36f344699ac36e1901c6b3865237a9a2a,valid,,f;final_B;final_a;final_c;grams;loss;loss_dot;metadata_json;projected_energy;residual_norm;theta;theta_min;times,201,0.0,8.0,201x3,201x17x3x3,201x3x3,5,16,81,243,20260723,,,0.02,0.04,gauss-hermite,6.779842776655816e-16,8.947071162088098e-16,1.1065237981247826e-17,8.930015384800155e-16,True,False
dense_mup_pde_repro/results/raw/pde_HYBRID_P15_N16_M81_R128_s20260723_dt0p02_T8.npz,pde_HYBRID_P15_N16_M81_R128_s20260723_dt0p02_T8.npz,19499123,f6bdd8ded9b90137aee29888b6ef218c5bb9e23f1eb80d8b43393e18bc1baa60,valid,,f;final_B;final_a;final_c;grams;loss;loss_dot;metadata_json;projected_energy;residual_norm;theta;theta_min;times,201,0.0,8.0,201x3,201x17x3x3,201x3x3,15,16,81,128,20260723,,,0.02,0.04,hybrid,9.045558575035645e-16,3.2963300243093022e-15,6.752377705812565e-17,3.874263510783622e-15,True,False
dense_mup_pde_repro/results/raw/pde_HYBRID_P15_N16_M81_R256_s20260723_dt0p02_T8.npz,pde_HYBRID_P15_N16_M81_R256_s20260723_dt0p02_T8.npz,38737426,75f4ae4cd0e22b9f2e0e18488a755bc3c19419a6dc4b6c4169177ea32f880714,valid,,f;final_B;final_a;final_c;grams;loss;loss_dot;metadata_json;projected_energy;residual_norm;theta;theta_min;times,201,0.0,8.0,201x3,201x17x3x3,201x3x3,15,16,81,256,20260723,,,0.02,0.04,hybrid,9.045558575035645e-16,3.2963300243093022e-15,8.691004996549878e-17,3.385575516086314e-15,True,False
dense_mup_pde_repro/results/raw/pde_HYBRID_P35_N16_M256_R128_s20260723_dt0p02_T8.npz,pde_HYBRID_P35_N16_M256_R128_s20260723_dt0p02_T8.npz,142514786,7412ed2c3ca34af92544bc05bfdc6b77bd05529d29d930a3b3ec0b9f3e237deb,valid,,f;final_B;final_a;final_c;grams;loss;loss_dot;metadata_json;projected_energy;residual_norm;theta;theta_min;times,201,0.0,8.0,201x3,201x17x3x3,201x3x3,35,16,256,128,20260723,,,0.02,0.04,hybrid,3.7902219181408914e-15,5.528395973043317e-15,1.4244417563169737e-16,1.0331007792418321e-14,True,False
dense_mup_pde_repro/results/raw/pde_HYBRID_P5_N16_M81_R128_s20260723_dt0p02_T8.npz,pde_HYBRID_P5_N16_M81_R128_s20260723_dt0p02_T8.npz,6557555,51cf222d2b3d86fe57bf69d9f2ac004c40b486597294e5c3e29e877d02d3b0a9,valid,,f;final_B;final_a;final_c;grams;loss;loss_dot;metadata_json;projected_energy;residual_norm;theta;theta_min;times,201,0.0,8.0,201x3,201x17x3x3,201x3x3,5,16,81,128,20260723,,,0.02,0.04,hybrid,6.779842776655816e-16,8.947071162088098e-16,3.9298739505653545e-17,3.53732733414477e-15,True,False
