case_id,family,scope,final_tier,active_gram,active_gram_ratio,feature_motion_ratio,numerical_pass,plateau_pass,verdict,gram_error_observed,gram_error_ucb,gram_error_lcb,output_error_observed,output_error_ucb,output_error_lcb,loss_error_observed,loss_error_ucb,loss_error_lcb,gram_only_case_simultaneous_ucb,gram_increment_rms_per_entry,output_increment_rms_per_sample,theta_rms_per_entry
B0,anchor,original,screening,True,0.3604669787435065,0.9860328374626497,True,True,boundary_or_unresolved,0.018069185007025815,0.07746980350083145,0.0028655787291674284,0.013385888057080044,0.07278650655088569,-0.001817718220778343,0.0039123380644321285,0.06331295655823777,-0.01129126821342626,0.03935759120534166,0.0025293564211689426,0.007883131369722742,0.024891414637767836
Y1,labels,stated_neighborhood_boundary,confirmation,True,0.36458787425423383,0.989461763237525,True,True,boundary_or_unresolved,0.012641128516118517,0.07204174700992416,-0.0025624777617398696,0.014656515606556616,0.07405713410036226,-0.0005470906713017712,0.014051193242514262,0.0734518117363199,-0.001152413035344125,0.03392953471443436,0.0015956397634039783,0.008721469329845114,0.015264336622996566
Y2,labels,extrapolation,screening,True,0.36223123897703463,0.9887071200501713,True,True,boundary_or_unresolved,0.015560538411971013,0.07496115690577665,0.0003569321341126263,0.013322034366091065,0.07272265285989671,-0.0018815719117673217,0.009517693932214384,0.06891831242602002,-0.0056859123456440026,0.03684894461028686,0.0021515916804984644,0.007887248920714487,0.024549665587400488
Y3,labels,extrapolation,confirmation,True,0.3537811125453702,0.9897059051253713,True,True,boundary_or_unresolved,0.012408305613810771,0.07180892410761641,-0.002795300664047616,0.014667475646495617,0.07406809414030126,-0.0005361306313627703,0.009531656766012923,0.06893227525981856,-0.005671949511845464,0.03369671181212662,0.0016681900006446362,0.008729731964553724,0.018872629028440252
Y4,labels,extrapolation,confirmation,True,1.1051904517559061,0.9910725274892284,True,True,boundary_or_unresolved,0.009535359080984216,0.06893597757478985,-0.005668247196874171,0.007436604111596662,0.0668372226054023,-0.007767002166261725,0.006960341377943531,0.06636095987174917,-0.008243264899914856,0.030823765279300062,0.003329174464545749,0.008745950203822328,0.03848313004001316
X1,input_geometry,extrapolation,screening,True,0.311253038664076,0.9827450719521931,False,True,boundary_or_unresolved,0.024644886026707665,0.0840455045205133,0.009441279748849278,0.015256685015194974,0.07465730350900061,5.3078737336587425e-05,0.00561838146180365,0.0650189999556093,-0.009585224816054738,0.045933292225023514,0.0034781732333774556,0.008988612577303403,0.024578628873663997
X2,input_geometry,extrapolation,confirmation,True,0.18179417920168947,0.9855998498988386,False,False,boundary_or_unresolved,0.025490309859153557,0.0848909283529592,0.01028670358129517,0.015926019464489113,0.07532663795829475,0.0007224131866307264,0.004607438953794,0.06400805744759963,-0.010596167324064387,0.0467787160574694,0.0027578629795166265,0.00905348665772098,0.022422574289177752
M2,sample_count,extrapolation,screening,True,0.39157942342396085,0.9881524561876277,True,True,boundary_or_unresolved,0.016200263803217527,0.07560088229702316,0.0009966575253591396,0.011754143975651181,0.07115476246945682,-0.003449462302207206,0.004595539567186364,0.063996158060992,-0.010608066710672024,0.03748867000153337,0.003229777000864502,0.007970615504609193,0.02715399270654997
M4,sample_count,extrapolation,screening,True,0.9581122502966811,0.9768757999001922,False,False,boundary_or_unresolved,0.04144639340315232,0.10084701189695797,0.026242787125293935,0.015086360744047012,0.07448697923785265,-0.00011724553381137551,0.005451794048771904,0.06485241254257754,-0.009751812229086483,0.06273479960146816,0.01882329022414108,0.007781227423582833,0.17122638537563964
M5,sample_count,extrapolation,confirmation,True,1.1519877918668948,1.0230615500402371,False,False,boundary_or_unresolved,0.031077664901172287,0.09047828339497793,0.0158740586233139,0.01833444680111777,0.07773506529492341,0.003130840523259383,0.019705901227532675,0.07910651972133831,0.0045022949496742876,0.05236607109948813,0.016662222616738127,0.009071322950453212,0.1232988402322428
A1,activation,activation_extension,confirmation,True,0.3717888744276454,0.9887186526583205,True,True,boundary_or_unresolved,0.013366203541649814,0.07276682203545545,-0.0018374027362085734,0.014578455715217027,0.07397907420902267,-0.0006251505626413602,0.013774151563998369,0.07317477005780401,-0.0014294547138600181,0.03465460973996566,0.0016865536222224777,0.008687413447482204,0.015795782171794007
A2,activation,activation_extension,screening,True,0.3367392584937122,0.9902253244554794,True,True,boundary_or_unresolved,0.01523900747278864,0.07463962596659428,3.540119493025337e-05,0.013118685781625741,0.07251930427543138,-0.0020849204962326458,0.0030976521990621546,0.06249827069286779,-0.012105954078796232,0.036527413671104486,0.002293868962195398,0.007722184743772959,0.021207491507052367
I1,interaction,extrapolation,confirmation,True,0.4754166997357625,0.9842886758051878,False,True,boundary_or_unresolved,0.02098187662046834,0.08038249511427398,0.005778270342609953,0.010412529289914553,0.06981314778372019,-0.004791076987943834,0.0043901014346500586,0.0637907199284557,-0.010813504843208328,0.042270282818784186,0.0038420523860558014,0.009175748212523224,0.1268835005763623
I2,interaction,activation_extension,confirmation,True,1.1574963557455369,1.0110151519196455,False,False,boundary_or_unresolved,0.024402925440362447,0.08380354393416808,0.00919931916250406,0.01684926052393356,0.07624987901773919,0.001645654246075174,0.019622098737254033,0.07902271723105966,0.004418492459395646,0.04569133163867829,0.013813734833777855,0.008925146207023511,0.13175069306540763
