configuration,level_index,level_label,level_name,sup_absolute_log_error,sup_ci99_lower,sup_ci99_upper,mean_absolute_log_error,mean_ci99_lower,mean_ci99_upper
C,0,M0,ntk_0moments_lower,0.3765298314495166,0.3309797587204376,0.4230004879447036,0.27079099897666425,0.2211040595804121,0.32197962190596247
C,1,M1,zero_radau_1node_1moments_upper,0.06560571982758584,0.024358311047793877,0.11115579255666476,0.051149668912060964,0.015117462394274831,0.10083660830831324
C,2,M2,gauss_1node_2moments_lower,0.035556473018224184,0.005787292880034548,0.08782613829248108,0.03304860322681349,0.003500624044016052,0.08273554262306576
C,3,M3,zero_radau_2node_3moments_upper,0.042060876863116395,0.009745788400133982,0.09016640799331851,0.03651469729160266,0.005962682030701193,0.0862016366878549
C,4,M4,gauss_2node_4moments_lower,0.04143579360310791,0.009494625347047508,0.08987864959782511,0.03620960851816851,0.00575102039076882,0.08589654791442086
C,5,M5,zero_radau_3node_5moments_upper,0.041556201464198445,0.009568931008235379,0.08999478498710525,0.03626435969069311,0.005796253378235218,0.08595129908694535
A,0,M0,ntk_0moments_lower,0.73557022074392,0.7014159692489084,0.7681624686360822,0.5535429177603971,0.5162142851255437,0.5902290972003514
A,1,M1,zero_radau_1node_1moments_upper,0.11514275387753192,0.08255050598536978,0.14929700537254365,0.0875693567192499,0.05096841897077005,0.12489798935410315
A,2,M2,gauss_1node_2moments_lower,0.03159391725595832,0.008188385025836607,0.07738464458883566,0.017798873034802567,0.004896458311069485,0.05512750566965586
A,3,M3,zero_radau_2node_3moments_upper,0.04702875070802522,0.016306669446711015,0.08216205084242095,0.0417340469777493,0.010319829511630577,0.07906267961260259
M,0,M0,ntk_0moments_lower,0.40359617590213054,0.361443293439447,0.45034280946704197,0.2911764097013282,0.24430719328408032,0.3432247991797977
M,1,M1,zero_radau_1node_1moments_upper,0.0696734437767428,0.02820151096728355,0.11182632623942647,0.05437255331695699,0.01761353562235241,0.101241769734205
M,2,M2,gauss_1node_2moments_lower,0.034405184223948074,0.005581122497532054,0.08731926594415135,0.03304033105094305,0.003279287440870083,0.0799095474681911
M,3,M3,zero_radau_2node_3moments_upper,0.04250481394235942,0.010556600130587044,0.08840710171133574,0.037378128447679695,0.006460128367437348,0.08424734486492774
M,4,M4,gauss_2node_4moments_lower,0.04166637206684888,0.009944061037545486,0.08825730635539046,0.03696665466925679,0.006129680714575955,0.08383587108650481
V,0,M0,ntk_0moments_lower,0.9183097362128141,0.8877474446168109,0.9491934552906729,0.7050663193965718,0.6698657713466999,0.7416359563038751
V,1,M1,zero_radau_1node_1moments_upper,0.13460726827795022,0.10372354920009152,0.16516955987395346,0.10116959101237102,0.06478720079564712,0.136370139062243
V,2,M2,gauss_1node_2moments_lower,0.02915116465001677,0.02199026282362603,0.06865238769378802,0.019072505319631002,0.01373490379578336,0.04120746808082987
V,3,M3,zero_radau_2node_3moments_upper,0.04523493817494307,0.01693054790972026,0.07689692201024279,0.0387534673790573,0.011142368420337438,0.07395401542892933
V,4,M4,gauss_2node_4moments_lower,0.032841150775231816,0.007232573392908622,0.07332896884465198,0.030810916973827283,0.004512471948984973,0.06601146502369931
V,5,M5,zero_radau_3node_5moments_upper,0.03664679559768231,0.010679409831979481,0.07362300139701186,0.033892137051351356,0.007089108590671338,0.06909268510122334
