configuration,level_index,level_label,level_name,node,proxy_kernel,neural_reference,neural_ci99_lower,neural_ci99_upper,signed_log_error,signed_log_error_ci99_lower,signed_log_error_ci99_upper,absolute_log_error,absolute_log_error_ci99_lower,absolute_log_error_ci99_upper,previous_level,transition_margin,transition_margin_ci99_lower,transition_margin_ci99_upper,bootstrap_probability_margin_gt_zero,central_improves_vs_previous
C,0,M0,ntk_0moments_lower,0.5,111.0,124.05492758396248,116.66413722697908,131.91393193883115,-0.11119423059973581,-0.17087389394390942,-0.052381679869711636,0.11119423059973581,0.05238167986971166,0.17087389394390942,,,,,,
C,0,M0,ntk_0moments_lower,0.75,111.0,142.6107924627414,135.28041460461657,150.3383781480299,-0.2505889872734468,-0.30241398259736374,-0.20067265058656159,0.2505889872734468,0.20067265058656172,0.30241398259736374,,,,,,
C,0,M0,ntk_0moments_lower,0.9,111.0,156.7075215508377,149.24295240145653,164.54544027344366,-0.34485094658395776,-0.39243393885408534,-0.2987727463435735,0.34485094658395776,0.29877274634357354,0.3924339388540854,,,,,,
C,0,M0,ntk_0moments_lower,0.95,111.0,161.7513100801564,154.14883804270318,169.72872870698484,-0.3765298314495166,-0.4230004879447036,-0.3309797587204376,0.3765298314495166,0.3309797587204376,0.4230004879447036,,,,,,
C,1,M1,zero_radau_1node_1moments_upper,0.5,128.09666423179937,124.05492758396248,116.66413722697908,131.91393193883115,0.03206073630651519,-0.027618927037658576,0.09087328703653921,0.03206073630651519,0.00048004522243716213,0.09087328703653921,M0,0.07913349429322061,-0.03849160716682754,0.14325496690625095,0.9613,True
C,1,M1,zero_radau_1node_1moments_upper,0.75,149.4674945215486,142.6107924627414,135.28041460461657,150.3383781480299,0.046959752654568795,-0.004865242669347944,0.09687608934145416,0.046959752654568795,0.0018984997623615531,0.09687608934145416,M0,0.203629234618878,0.10379656124510772,0.2975487399280157,1.0,True
C,1,M1,zero_radau_1node_1moments_upper,0.9,166.39319211102995,156.7075215508377,149.24295240145653,164.54544027344366,0.05997246685957401,0.012389474589446373,0.10605066709995829,0.05997246685957401,0.012404406606820115,0.10605066709995829,M0,0.28487847972438374,0.1927220792436153,0.3800444642646391,1.0,True
C,1,M1,zero_radau_1node_1moments_upper,0.95,172.7189578767957,161.7513100801564,154.14883804270318,169.72872870698484,0.06560571982758584,0.01913506333239871,0.11115579255666476,0.06560571982758584,0.01913506333239871,0.11115579255666476,M0,0.3109241116219308,0.2198239661637728,0.40386542461230485,1.0,True
C,2,M2,gauss_1node_2moments_lower,0.5,127.67934023338542,124.05492758396248,116.66413722697908,131.91393193883115,0.028797534431038864,-0.03088212891313478,0.08761008516106307,0.028797534431038864,0.00028484955333755264,0.08761008516106307,M1,0.0032632018754763237,-0.0032632018754762395,0.0032632018754763584,0.91025,True
C,2,M2,gauss_1node_2moments_lower,0.75,147.4173460976317,142.6107924627414,135.28041460461657,150.3383781480299,0.03314846469091737,-0.018676530632999414,0.0830648013778028,0.03314846469091737,0.0005421163889509584,0.0830648013778028,M1,0.013811287963651428,-0.013811287963651457,0.01381128796365164,0.97675,True
