configuration,metric,level_index,level_label,error_n4096,error_n4096_ci99_lower,error_n4096_ci99_upper,error_n8192,error_n8192_ci99_lower,error_n8192_ci99_upper,error_change_n8192_minus_n4096,error_change_ci99_lower,error_change_ci99_upper,bootstrap_probability_error_decreases,central_best_n4096,central_best_n8192
C,sup_absolute_log_error,0,M0,0.3765298314495166,0.3309797587204376,0.4230004879447036,0.39820935344682074,0.37721914759720404,0.422022252641511,0.021679521997304108,-0.024358579067023392,0.06305458932184733,0.11515,False,False
C,sup_absolute_log_error,1,M1,0.06560571982758584,0.024358311047793877,0.11115579255666476,0.043926197830281594,0.020204431990198356,0.0649164036798983,-0.021679521997304246,-0.06305458932184721,0.020804006724088067,0.8871,False,False
C,sup_absolute_log_error,2,M2,0.035556473018224184,0.005787292880034548,0.08782613829248108,0.01696621782342949,0.0010902992057240798,0.04714877364039889,-0.018590255194794694,-0.06447048353980729,0.021913208814370186,0.86645,True,True
C,sup_absolute_log_error,3,M3,0.042060876863116395,0.009745788400133982,0.09016640799331851,0.020381354865812263,0.004162590057864,0.04739137597076209,-0.021679521997304132,-0.06473489608283843,0.017900142018024433,0.89885,False,False
C,sup_absolute_log_error,4,M4,0.04143579360310791,0.009494625347047508,0.08987864959782511,0.01975627160580362,0.0038127916961443694,0.047383218837976304,-0.021679521997304288,-0.0645535977513549,0.01820043914006297,0.89835,False,False
C,sup_absolute_log_error,5,M5,0.041556201464198445,0.009568931008235379,0.08999478498710525,0.01987667946689422,0.003908674764656413,0.04738375716857624,-0.021679521997304226,-0.06457847825652335,0.018166745828214877,0.89845,False,False
C,mean_absolute_log_error,0,M0,0.27079099897666425,0.2211040595804121,0.32197962190596247,0.2883452804045326,0.26368806828801394,0.31473778718979256,0.017554281427868357,-0.03254318857513888,0.06169954197765038,0.1789,False,False
C,mean_absolute_log_error,1,M1,0.051149668912060964,0.015117462394274831,0.10083660830831324,0.03359538748419253,0.012266859277948865,0.058252599600711205,-0.017554281427868433,-0.06168851419789047,0.02424457329223164,0.82905,False,False
C,mean_absolute_log_error,2,M2,0.03304860322681349,0.003500624044016052,0.08273554262306576,0.015494321798945134,0.0005727440264227345,0.04015153391546384,-0.017554281427868353,-0.06166449715466051,0.021664205300176556,0.83845,True,True
C,mean_absolute_log_error,3,M3,0.03651469729160266,0.005962682030701193,0.0862016366878549,0.018960415863734297,0.0024520899435292493,0.043617627980252933,-0.01755428142786836,-0.06168851419789049,0.022079460592179204,0.83775,False,False
C,mean_absolute_log_error,4,M4,0.03620960851816851,0.00575102039076882,0.08589654791442086,0.018655327090300156,0.0022278292466960683,0.04331253920681883,-0.017554281427868357,-0.061688514197890454,0.02207540241861828,0.83775,False,False
C,mean_absolute_log_error,5,M5,0.03626435969069311,0.005796253378235218,0.08595129908694535,0.018710078262824725,0.0022672261833288744,0.043367290379343476,-0.017554281427868385,-0.06168851419789047,0.022075670238091847,0.83775,False,False
A,sup_absolute_log_error,0,M0,0.73557022074392,0.7014159692489084,0.7681624686360822,0.7532046684917171,0.7329181348428221,0.7755536882301193,0.0176344477477971,-0.018609699318327375,0.051151826135577325,0.10915,False,False
A,sup_absolute_log_error,1,M1,0.11514275387753192,0.08255050598536978,0.14929700537254365,0.09750830612973474,0.07515928639133261,0.11779483977862976,-0.017634447747797183,-0.05115182613557714,0.018609699318327382,0.89085,False,False
