configuration,metric,level_index,level_label,central_best_n4096,central_best_n8192,bootstrap_probability_best_n4096,bootstrap_probability_best_n8192
C,sup_absolute_log_error,0,M0,False,False,0.0,0.0
C,sup_absolute_log_error,1,M1,False,False,0.0108,0.0019
C,sup_absolute_log_error,2,M2,True,True,0.95585,0.9575
C,sup_absolute_log_error,3,M3,False,False,0.03125,0.037
C,sup_absolute_log_error,4,M4,False,False,0.0008,0.00165
C,sup_absolute_log_error,5,M5,False,False,0.0013,0.00195
C,mean_absolute_log_error,0,M0,False,False,0.0,0.0
C,mean_absolute_log_error,1,M1,False,False,0.0043,0.00195
C,mean_absolute_log_error,2,M2,True,True,0.9791,0.95985
C,mean_absolute_log_error,3,M3,False,False,0.00725,0.01385
C,mean_absolute_log_error,4,M4,False,False,0.00915,0.02405
C,mean_absolute_log_error,5,M5,False,False,0.0002,0.0003
A,sup_absolute_log_error,0,M0,False,False,0.0,0.0
A,sup_absolute_log_error,1,M1,False,False,0.0,0.0
A,sup_absolute_log_error,2,M2,True,True,0.97765,0.8275
A,sup_absolute_log_error,3,M3,False,False,0.02235,0.1725
A,mean_absolute_log_error,0,M0,False,False,0.0,0.0
A,mean_absolute_log_error,1,M1,False,False,0.0,0.0
A,mean_absolute_log_error,2,M2,True,True,0.9838,0.90575
A,mean_absolute_log_error,3,M3,False,False,0.0162,0.09425
M,sup_absolute_log_error,0,M0,False,False,0.0,0.0
M,sup_absolute_log_error,1,M1,False,False,0.00725,0.00095
M,sup_absolute_log_error,2,M2,True,True,0.96275,0.95665
M,sup_absolute_log_error,3,M3,False,False,0.0284,0.03545
M,sup_absolute_log_error,4,M4,False,False,0.0016,0.00695
M,mean_absolute_log_error,0,M0,False,False,0.0,0.0
M,mean_absolute_log_error,1,M1,False,False,0.00335,0.00105
M,mean_absolute_log_error,2,M2,True,True,0.9812,0.9565
M,mean_absolute_log_error,3,M3,False,False,0.0056,0.0144
M,mean_absolute_log_error,4,M4,False,False,0.00985,0.02805
V,sup_absolute_log_error,0,M0,False,False,0.0,0.0
V,sup_absolute_log_error,1,M1,False,False,0.0,0.0
V,sup_absolute_log_error,2,M2,True,False,0.53555,0.02595
V,sup_absolute_log_error,3,M3,False,False,0.00775,0.00245
V,sup_absolute_log_error,4,M4,False,True,0.4478,0.9629
V,sup_absolute_log_error,5,M5,False,False,0.0089,0.0087
V,mean_absolute_log_error,0,M0,False,False,0.0,0.0
V,mean_absolute_log_error,1,M1,False,False,0.0,0.0
V,mean_absolute_log_error,2,M2,True,False,0.75245,0.1574
V,mean_absolute_log_error,3,M3,False,False,0.00065,0.00025
V,mean_absolute_log_error,4,M4,False,True,0.2448,0.8381
V,mean_absolute_log_error,5,M5,False,False,0.0021,0.00425
