configuration,node,level_index,level_label,level_name,proxy_kernel,neural_reference_n4096,neural_reference_n8192,log_k8192_over_k4096,log_ratio_ci99_lower,log_ratio_ci99_upper,absolute_log_error_n4096,absolute_log_error_n4096_ci99_lower,absolute_log_error_n4096_ci99_upper,absolute_log_error_n8192,absolute_log_error_n8192_ci99_lower,absolute_log_error_n8192_ci99_upper,error_change_n8192_minus_n4096,error_change_ci99_lower,error_change_ci99_upper,bootstrap_probability_error_decreases
C,0.5,0,M0,ntk_0moments_lower,111.0,124.05492758396248,125.53137766034044,0.011831316607609443,-0.047113883406031995,0.06380530170083183,0.11119423059973581,0.05238167986971166,0.17087389394390942,0.12302554720734521,0.0928429913903759,0.15347236980521844,0.011831316607609402,-0.04711388340603203,0.06380530170083183,0.28725
C,0.75,0,M0,ntk_0moments_lower,111.0,142.6107924627414,145.0094488574536,0.016679716245840193,-0.03389915172057976,0.061198002794795224,0.2505889872734468,0.20067265058656172,0.30241398259736374,0.267268703519287,0.2419898357409947,0.29419147551576774,0.016679716245840193,-0.03389915172057968,0.06119800279479526,0.19
C,0.9,0,M0,ntk_0moments_lower,111.0,156.7075215508377,159.8774715040268,0.020026570860719843,-0.02655658042212709,0.062043817218982646,0.34485094658395776,0.29877274634357354,0.3924339388540854,0.36487751744467756,0.3427465655836363,0.38953114277626116,0.020026570860719795,-0.026556580422127104,0.06204381721898271,0.13365
C,0.95,0,M0,ntk_0moments_lower,111.0,161.7513100801564,165.2962890454445,0.021679521997304177,-0.024358579067023337,0.06305458932184728,0.3765298314495166,0.3309797587204376,0.4230004879447036,0.39820935344682074,0.37721914759720404,0.422022252641511,0.021679521997304108,-0.024358579067023392,0.06305458932184733,0.11515
C,0.5,1,M1,zero_radau_1node_1moments_upper,128.09666423179937,124.05492758396248,125.53137766034044,0.011831316607609443,-0.047113883406031995,0.06380530170083183,0.03206073630651519,0.00048004522243716213,0.09087328703653921,0.02022941969890561,0.0003517270470743144,0.050411975515874896,-0.011831316607609579,-0.06368500782747145,0.03248665457623878,0.7361
C,0.75,1,M1,zero_radau_1node_1moments_upper,149.4674945215486,142.6107924627414,145.0094488574536,0.016679716245840193,-0.03389915172057976,0.061198002794795224,0.046959752654568795,0.0018984997623615531,0.09687608934145416,0.030280036408728707,0.0037263341605207963,0.05555890418702103,-0.01667971624584009,-0.06119800279479518,0.03123973482986862,0.81115
C,0.9,1,M1,zero_radau_1node_1moments_upper,166.39319211102995,156.7075215508377,159.8774715040268,0.020026570860719843,-0.02655658042212709,0.062043817218982646,0.05997246685957401,0.012404406606820115,0.10605066709995829,0.039945895998854224,0.015292270667270597,0.06207684785989554,-0.020026570860719788,-0.06204381721898257,0.02638990361217285,0.8664
C,0.95,1,M1,zero_radau_1node_1moments_upper,172.7189578767957,161.7513100801564,165.2962890454445,0.021679521997304177,-0.024358579067023337,0.06305458932184728,0.06560571982758584,0.01913506333239871,0.11115579255666476,0.043926197830281594,0.02011329863559146,0.0649164036798983,-0.021679521997304246,-0.06305458932184721,0.02434111322108823,0.88485
C,0.5,2,M2,gauss_1node_2moments_lower,127.67934023338542,124.05492758396248,125.53137766034044,0.011831316607609443,-0.047113883406031995,0.06380530170083183,0.028797534431038864,0.00028484955333755264,0.08761008516106307,0.01696621782342949,0.00020485765314470295,0.04714877364039889,-0.011831316607609374,-0.06350797269126553,0.031133250490606723,0.7426
C,0.75,2,M2,gauss_1node_2moments_lower,147.4173460976317,142.6107924627414,145.0094488574536,0.016679716245840193,-0.03389915172057976,0.061198002794795224,0.03314846469091737,0.0005421163889509584,0.0830648013778028,0.0164687484450772,0.00023386254935754046,0.0417476162233697,-0.01667971624584017,-0.06107956973491109,0.02473317928480159,0.82045
C,0.9,2,M2,gauss_1node_2moments_lower,162.2394107876611,156.7075215508377,159.8774715040268,0.020026570860719843,-0.02655658042212709,0.062043817218982646,0.03469194076707355,0.0007378664599509792,0.0807701410074578,0.014665369906353778,0.0001867614182953276,0.036796321767395175,-0.02002657086071977,-0.061711950992498515,0.020289616820138103,0.8696
C,0.95,2,M2,gauss_1node_2moments_lower,167.6060869624303,161.7513100801564,165.2962890454445,0.021679521997304177,-0.024358579067023337,0.06305458932184728,0.035556473018224184,0.0007185195726458332,0.0811065457473031,0.01387695102092007,0.0001791685414657718,0.03486715687053664,-0.021679521997304115,-0.06296342139345783,0.018808826720314278,0.88705
C,0.5,3,M3,zero_radau_2node_3moments_upper,127.7103192965098,124.05492758396248,125.53137766034044,0.011831316607609443,-0.047113883406031995,0.06380530170083183,0.029040136761402314,0.0003166548073195504,0.08785268749142638,0.017208820153792784,0.00016797885207899164,0.04739137597076209,-0.01183131660760953,-0.06350797269126573,0.031133250490606612,0.742
C,0.75,3,M3,zero_radau_2node_3moments_upper,147.7227977264725,142.6107924627414,145.0094488574536,0.016679716245840193,-0.03389915172057976,0.061198002794795224,0.03521834060775562,0.000539904043734652,0.085134677294641,0.018538624361915505,0.0003016637341480414,0.04381749214020785,-0.016679716245840113,-0.06116040277604324,0.02589148687287865,0.81795
C,0.9,3,M3,zero_radau_2node_3moments_upper,163.06038345163975,156.7075215508377,159.8774715040268,0.020026570860719843,-0.02655658042212709,0.062043817218982646,0.03973943493413629,0.0012979238740708928,0.08581763517452058,0.019712864073416637,0.0005569578570753227,0.04184381593445794,-0.020026570860719656,-0.061942955398725935,0.02235451909522195,0.869
C,0.95,3,M3,zero_radau_2node_3moments_upper,168.69981781642096,161.7513100801564,165.2962890454445,0.021679521997304177,-0.024358579067023337,0.06305458932184728,0.042060876863116395,0.0015631806530595085,0.0876109495921953,0.020381354865812263,0.0007512359693707542,0.041371560715428954,-0.021679521997304132,-0.06305458932184732,0.02096491428715626,0.8864
C,0.5,4,M4,gauss_2node_4moments_lower,127.709277550726,124.05492758396248,125.53137766034044,0.011831316607609443,-0.047113883406031995,0.06380530170083183,0.02903197962861631,0.00031473733413362706,0.08784453035864047,0.017200663021006996,0.00016848443672645586,0.047383218837976304,-0.011831316607609315,-0.06350797269126568,0.031133250490606595,0.742
