configuration,metric,from_level,to_level,margin_n4096,margin_n4096_ci99_lower,margin_n4096_ci99_upper,margin_n8192,margin_n8192_ci99_lower,margin_n8192_ci99_upper,sign_n4096,sign_n8192,central_sign_changed,margin_change_n8192_minus_n4096,margin_change_ci99_lower,margin_change_ci99_upper,bootstrap_probability_margin_positive_n4096,bootstrap_probability_margin_positive_n8192
C,sup_absolute_log_error,M0,M1,0.3109241116219308,0.2198239661637728,0.3969356551827166,0.3542831556165391,0.3123027439173058,0.4019089540059195,improves,improves,False,0.043359043994608326,-0.0438309780339135,0.12610917864369456,1.0,1.0
C,sup_absolute_log_error,M1,M2,0.030049246809361656,-0.003263201875476164,0.030049246809361854,0.026959980006852104,0.006415039697345103,0.03004924680936168,improves,improves,False,-0.003089266802509552,-0.020754308576154252,0.031468899157663106,0.98915,0.99805
C,sup_absolute_log_error,M2,M3,-0.006504403844892211,-0.006504403844892374,0.00024260233036333886,-0.003415137042382773,-0.006504403844892193,0.00024260233036334147,worsens,worsens,False,0.0030892668025094376,-0.006589505436192758,0.006747006175255555,0.0428,0.04005
C,sup_absolute_log_error,M3,M4,0.0006250832600084855,-8.157132785936716e-06,0.0006250832600086763,0.0006250832600086416,-8.157132785939318e-06,0.000625083260008678,improves,improves,False,1.5612511283791264e-16,-0.000633240392794469,0.000633240392794476,0.95795,0.9611
C,sup_absolute_log_error,M4,M5,-0.00012040786109053514,-0.000120407861090778,5.383306000850824e-07,-0.00012040786109059759,-0.000120407861090778,5.383306000876845e-07,worsens,worsens,False,-6.245004513516506e-17,-0.00012094619169071218,0.00012094619169071653,0.04335,0.04085
C,mean_absolute_log_error,M0,M1,0.2196413300646033,0.12026745127209902,0.30618340344541756,0.25474989292034006,0.2054354686873028,0.30250515909813214,improves,improves,False,0.03510856285573677,-0.05517811545243873,0.12337702839578112,1.0,1.0
C,mean_absolute_log_error,M1,M2,0.018101065685247476,-0.002343801241939766,0.018101065685247546,0.018101065685247397,0.0013344431053456348,0.018101065685247546,improves,improves,False,-7.979727989493313e-17,-0.015301676757846005,0.01877275606825354,0.99255,0.99635
C,mean_absolute_log_error,M2,M3,-0.00346609406478917,-0.0034660940647892463,0.003466094064789137,-0.003466094064789163,-0.0034660940647892498,0.0034660940647891474,worsens,worsens,False,6.938893903907228e-18,-0.006932188129578215,0.006932188129578269,0.0202,0.0385
C,mean_absolute_log_error,M3,M4,0.0003050887734341451,-0.00030508877343412427,0.00030508877343422836,0.0003050887734341416,-0.0003050887734341312,0.00030508877343423356,improves,improves,False,-3.469446951953614e-18,-0.0006101775468682295,0.0006101775468681948,0.98825,0.9839
C,mean_absolute_log_error,M4,M5,-5.475117252459749e-05,-5.4751172524701575e-05,5.475117252459923e-05,-5.4751172524569736e-05,-5.4751172524708513e-05,5.4751172524609634e-05,worsens,worsens,False,2.7755575615628914e-17,-0.00010950234504915683,0.00010950234504918631,0.01175,0.0161
A,sup_absolute_log_error,M0,M1,0.620427466866388,0.5521189638763647,0.6856119626507124,0.6556963623619824,0.6151232950641924,0.7003944018387868,improves,improves,False,0.03526889549559431,-0.03721939863665475,0.10230365227115465,1.0,1.0
A,sup_absolute_log_error,M1,M2,0.0835488366215736,0.054701145940146835,0.0989972336076682,0.07925424114717192,0.03991870675207249,0.0871865880555227,improves,improves,False,-0.004294595474401683,-0.04587465779691059,0.021881748096906364,1.0,1.0
A,sup_absolute_log_error,M2,M3,-0.0154348334520669,-0.030883230438161515,0.01137591727907989,-0.011140237977665255,-0.019072584886016014,0.02488715181181964,worsens,worsens,False,0.004294595474401645,-0.020903551914112698,0.04379710878079138,0.02235,0.1725
A,mean_absolute_log_error,M0,M1,0.4659735610411472,0.3913162957714405,0.5393293336831764,0.49834781334308176,0.4525500619928298,0.5487583283956105,improves,improves,False,0.03237425230193458,-0.04428821018117408,0.10107364334847478,1.0,1.0
A,mean_absolute_log_error,M1,M2,0.06977048368444733,0.03201245711202309,0.06977048368444742,0.06001202859407092,0.02258346239958904,0.06977048368444738,improves,improves,False,-0.009758455090376407,-0.040609592227080174,0.024781495959774726,0.99995,1.0
A,mean_absolute_log_error,M2,M3,-0.023935173942946735,-0.023935173942946857,0.008802964655605908,-0.014176718852570333,-0.023935173942946808,0.018038492548203444,worsens,worsens,False,0.009758455090376402,-0.02155957097506043,0.03681149887252285,0.0162,0.09425
M,sup_absolute_log_error,M0,M1,0.33392273212538776,0.24961696720002058,0.42045354520131833,0.3782637740474074,0.3363142272741295,0.42488484509617175,improves,improves,False,0.04434104192201965,-0.04244729689984253,0.12404428522569164,1.0,1.0
M,sup_absolute_log_error,M1,M2,0.03526825955279472,-0.003923483449810642,0.035268259552794924,0.031050642866561964,0.010561646771767415,0.03518353789249798,improves,improves,False,-0.0042176166862327585,-0.022369619853106915,0.03263643635741816,0.99255,0.99895
M,sup_absolute_log_error,M2,M3,-0.008099629718411348,-0.00809962971841149,0.0003142993033762344,-0.0038820130321785967,-0.008014908058114608,0.00043994929520405345,worsens,worsens,False,0.004217616686232752,-0.007533361207875614,0.008413929021787597,0.0359,0.03875
M,sup_absolute_log_error,M3,M4,0.0008384418755105413,-1.156335239986192e-05,0.000838441875510805,0.0008384418755106558,-1.156335239986539e-05,0.0008384418755108085,improves,improves,False,1.1449174941446927e-16,-0.0008500052279105334,0.0008500052279105143,0.96435,0.9636
M,mean_absolute_log_error,M0,M1,0.23680385638437118,0.14306542354987545,0.3262219704058368,0.2740565226072561,0.2249610586513049,0.3210886581908143,improves,improves,False,0.03725266622288492,-0.05191398937037095,0.12371610151696126,1.0,1.0
M,mean_absolute_log_error,M1,M2,0.021332222266013945,-0.002005229653565504,0.021332222266014028,0.021332222266013858,0.003128082561456948,0.021332222266014028,improves,improves,False,-8.673617379884035e-17,-0.016714606318355998,0.019201890002473413,0.9939,0.997
M,mean_absolute_log_error,M2,M3,-0.004337797396736648,-0.004337797396736717,0.004337797396736603,-0.004337797396736603,-0.004337797396736718,0.004337797396736617,worsens,worsens,False,4.5102810375396984e-17,-0.008518445141785088,0.008675594793473181,0.01795,0.0406
M,mean_absolute_log_error,M3,M4,0.000411473778422905,-0.00041147377842294316,0.0004114737784230646,0.00041147377842295704,-0.00041147377842295704,0.0004114737784230646,improves,improves,False,5.204170427930421e-17,-0.000822947556845869,0.0008171658806459493,0.99105,0.98455
V,sup_absolute_log_error,M0,M1,0.7837024679348639,0.7225778847428574,0.8454699060905814,0.8163808815138143,0.7880318127743985,0.849255296556752,improves,improves,False,0.032678413578950405,-0.030406128052512235,0.09366717463914735,1.0,1.0
